source_framework,source_item_id,target_expression,notes
pri_2010_disclosure,A1,pri_2010_disclosure:A1,self-reference (PRI is the spine)
pri_2010_disclosure,A2,pri_2010_disclosure:A2,self-reference (PRI is the spine)
pri_2010_disclosure,A3,pri_2010_disclosure:A3,self-reference (PRI is the spine)
pri_2010_disclosure,A4,pri_2010_disclosure:A4,self-reference (PRI is the spine)
pri_2010_disclosure,A5,pri_2010_disclosure:A5,self-reference (PRI is the spine)
pri_2010_disclosure,A6,pri_2010_disclosure:A6,self-reference (PRI is the spine)
pri_2010_disclosure,A7,pri_2010_disclosure:A7,self-reference (PRI is the spine)
pri_2010_disclosure,A8,pri_2010_disclosure:A8,self-reference (PRI is the spine)
pri_2010_disclosure,A9,pri_2010_disclosure:A9,self-reference (PRI is the spine)
pri_2010_disclosure,A10,pri_2010_disclosure:A10,self-reference (PRI is the spine)
pri_2010_disclosure,A11,pri_2010_disclosure:A11,self-reference (PRI is the spine)
pri_2010_disclosure,B1,pri_2010_disclosure:B1,self-reference (PRI is the spine)
pri_2010_disclosure,B2,pri_2010_disclosure:B2,self-reference (PRI is the spine)
pri_2010_disclosure,B3,pri_2010_disclosure:B3,self-reference (PRI is the spine)
pri_2010_disclosure,B4,pri_2010_disclosure:B4,self-reference (PRI is the spine)
pri_2010_disclosure,C0,pri_2010_disclosure:C0,self-reference (PRI is the spine)
pri_2010_disclosure,C1,pri_2010_disclosure:C1,self-reference (PRI is the spine)
pri_2010_disclosure,C2,pri_2010_disclosure:C2,self-reference (PRI is the spine)
pri_2010_disclosure,C3,pri_2010_disclosure:C3,self-reference (PRI is the spine)
pri_2010_disclosure,D0,pri_2010_disclosure:D0,self-reference (PRI is the spine)
pri_2010_disclosure,D1_present,pri_2010_disclosure:D1_present,self-reference (PRI is the spine)
pri_2010_disclosure,D1_value,pri_2010_disclosure:D1_value,self-reference (PRI is the spine)
pri_2010_disclosure,D2_present,pri_2010_disclosure:D2_present,self-reference (PRI is the spine)
pri_2010_disclosure,D2_value,pri_2010_disclosure:D2_value,self-reference (PRI is the spine)
pri_2010_disclosure,E1a,pri_2010_disclosure:E1a,self-reference (PRI is the spine)
pri_2010_disclosure,E1b,pri_2010_disclosure:E1b,self-reference (PRI is the spine)
pri_2010_disclosure,E1c,pri_2010_disclosure:E1c,self-reference (PRI is the spine)
pri_2010_disclosure,E1d,pri_2010_disclosure:E1d,self-reference (PRI is the spine)
pri_2010_disclosure,E1e,pri_2010_disclosure:E1e,self-reference (PRI is the spine)
pri_2010_disclosure,E1f_i,pri_2010_disclosure:E1f_i,self-reference (PRI is the spine)
pri_2010_disclosure,E1f_ii,pri_2010_disclosure:E1f_ii,self-reference (PRI is the spine)
pri_2010_disclosure,E1f_iii,pri_2010_disclosure:E1f_iii,self-reference (PRI is the spine)
pri_2010_disclosure,E1f_iv,pri_2010_disclosure:E1f_iv,self-reference (PRI is the spine)
pri_2010_disclosure,E1g_i,pri_2010_disclosure:E1g_i,self-reference (PRI is the spine)
pri_2010_disclosure,E1g_ii,pri_2010_disclosure:E1g_ii,self-reference (PRI is the spine)
pri_2010_disclosure,E1h_i,pri_2010_disclosure:E1h_i,self-reference (PRI is the spine)
pri_2010_disclosure,E1h_ii,pri_2010_disclosure:E1h_ii,self-reference (PRI is the spine)
pri_2010_disclosure,E1h_iii,pri_2010_disclosure:E1h_iii,self-reference (PRI is the spine)
pri_2010_disclosure,E1h_iv,pri_2010_disclosure:E1h_iv,self-reference (PRI is the spine)
pri_2010_disclosure,E1h_v,pri_2010_disclosure:E1h_v,self-reference (PRI is the spine)
pri_2010_disclosure,E1h_vi,pri_2010_disclosure:E1h_vi,self-reference (PRI is the spine)
pri_2010_disclosure,E1i,pri_2010_disclosure:E1i,self-reference (PRI is the spine)
pri_2010_disclosure,E1j,pri_2010_disclosure:E1j,self-reference (PRI is the spine)
pri_2010_disclosure,E2a,pri_2010_disclosure:E2a,self-reference (PRI is the spine)
pri_2010_disclosure,E2b,pri_2010_disclosure:E2b,self-reference (PRI is the spine)
pri_2010_disclosure,E2c,pri_2010_disclosure:E2c,self-reference (PRI is the spine)
pri_2010_disclosure,E2d,pri_2010_disclosure:E2d,self-reference (PRI is the spine)
pri_2010_disclosure,E2e,pri_2010_disclosure:E2e,self-reference (PRI is the spine)
pri_2010_disclosure,E2f_i,pri_2010_disclosure:E2f_i,self-reference (PRI is the spine)
pri_2010_disclosure,E2f_ii,pri_2010_disclosure:E2f_ii,self-reference (PRI is the spine)
pri_2010_disclosure,E2f_iii,pri_2010_disclosure:E2f_iii,self-reference (PRI is the spine)
pri_2010_disclosure,E2f_iv,pri_2010_disclosure:E2f_iv,self-reference (PRI is the spine)
pri_2010_disclosure,E2g_i,pri_2010_disclosure:E2g_i,self-reference (PRI is the spine)
pri_2010_disclosure,E2g_ii,pri_2010_disclosure:E2g_ii,self-reference (PRI is the spine)
pri_2010_disclosure,E2h_i,pri_2010_disclosure:E2h_i,self-reference (PRI is the spine)
pri_2010_disclosure,E2h_ii,pri_2010_disclosure:E2h_ii,self-reference (PRI is the spine)
pri_2010_disclosure,E2h_iii,pri_2010_disclosure:E2h_iii,self-reference (PRI is the spine)
pri_2010_disclosure,E2h_iv,pri_2010_disclosure:E2h_iv,self-reference (PRI is the spine)
pri_2010_disclosure,E2h_v,pri_2010_disclosure:E2h_v,self-reference (PRI is the spine)
pri_2010_disclosure,E2h_vi,pri_2010_disclosure:E2h_vi,self-reference (PRI is the spine)
pri_2010_disclosure,E2i,pri_2010_disclosure:E2i,self-reference (PRI is the spine)
pri_2010_accessibility,Q1,pri_2010_accessibility:Q1,self-reference (PRI accessibility row)
pri_2010_accessibility,Q2,pri_2010_accessibility:Q2,self-reference (PRI accessibility row)
pri_2010_accessibility,Q3,pri_2010_accessibility:Q3,self-reference (PRI accessibility row)
pri_2010_accessibility,Q4,pri_2010_accessibility:Q4,self-reference (PRI accessibility row)
pri_2010_accessibility,Q5,pri_2010_accessibility:Q5,self-reference (PRI accessibility row)
pri_2010_accessibility,Q6,pri_2010_accessibility:Q6,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7a,pri_2010_accessibility:Q7a,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7b,pri_2010_accessibility:Q7b,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7c,pri_2010_accessibility:Q7c,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7d,pri_2010_accessibility:Q7d,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7e,pri_2010_accessibility:Q7e,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7f,pri_2010_accessibility:Q7f,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7g,pri_2010_accessibility:Q7g,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7h,pri_2010_accessibility:Q7h,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7i,pri_2010_accessibility:Q7i,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7j,pri_2010_accessibility:Q7j,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7k,pri_2010_accessibility:Q7k,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7l,pri_2010_accessibility:Q7l,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7m,pri_2010_accessibility:Q7m,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7n,pri_2010_accessibility:Q7n,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7o,pri_2010_accessibility:Q7o,self-reference (PRI accessibility row)
pri_2010_accessibility,Q8,pri_2010_accessibility:Q8,self-reference (PRI accessibility row)
focal_2024,1.1,pri_2010_disclosure:A1 & pri_2010_disclosure:A2 & pri_2010_disclosure:A3 & pri_2010_disclosure:A4 & pri_2010_disclosure:A6 & pri_2010_disclosure:A7 & pri_2010_disclosure:A8 & pri_2010_disclosure:A9 & pri_2010_disclosure:A10 & pri_2010_disclosure:A11,FOCAL 1.1 (registry covers all listed types) = AND of PRI A-series
focal_2024,1.2,pri_2010_disclosure:D1_present & pri_2010_disclosure:D2_present,"polarity-flipped: FOCAL asks for low/no threshold, PRI asks if threshold exists"
focal_2024,1.3,NEW,
focal_2024,1.4,NEW,
focal_2024,2.1,NEW,
focal_2024,2.2,NEW,
focal_2024,2.3,NEW,
focal_2024,3.1,pri_2010_accessibility:Q2,
focal_2024,3.2,NEW,
focal_2024,3.3,pri_2010_accessibility:Q1 & pri_2010_accessibility:Q6,"FOCAL 3.3 is a 5-condition compound (no-registration, free, open license, non-proprietary, machine-readable); PRI Q1 covers availability and Q6 covers analysis-ready format. Open-license / no-registration are not in PRI"
focal_2024,3.4,pri_2010_accessibility:Q6,
focal_2024,3.5,pri_2010_accessibility:Q8,
focal_2024,3.6,NEW,
focal_2024,3.7,NEW,
focal_2024,3.8,pri_2010_accessibility:Q5,
focal_2024,3.9,NEW,
focal_2024,4.1,pri_2010_disclosure:E1c | pri_2010_disclosure:E2c,FOCAL 4.1 (full names) finer than PRI but cross-references both name-listing rows
focal_2024,4.2,pri_2010_disclosure:E1b | pri_2010_disclosure:E1d | pri_2010_disclosure:E2b | pri_2010_disclosure:E2d,FOCAL 4.2 (contact details) covers all four contact-detail rows on either side
focal_2024,4.3,pri_2010_disclosure:E1e | pri_2010_disclosure:E2e,FOCAL 4.3 (legal form) on either principal-side or lobbyist-side report
focal_2024,4.4,NEW,
focal_2024,4.5,NEW,
focal_2024,4.6,NEW,
focal_2024,5.1,NEW,
focal_2024,5.2,NEW,
focal_2024,6.1,pri_2010_disclosure:E2c,FOCAL 6.1 (consultant/firm client list) ≈ PRI E2c (lobbyist report lists represented principals)
focal_2024,6.2,pri_2010_disclosure:E1j,FOCAL 6.2 (sponsors / members) ≈ PRI E1j (major financial contributors)
focal_2024,6.3,NEW,
focal_2024,6.4,NEW,
focal_2024,7.1,pri_2010_disclosure:E2f_i,FOCAL 7.1 (total lobbying income for consultants/firms) ≈ PRI E2f_i (lobbyist compensation)
focal_2024,7.2,NEW,
focal_2024,7.3,pri_2010_disclosure:E1j,FOCAL 7.3 (income sources + amount) finer than PRI E1j (major financial contributors)
focal_2024,7.4,pri_2010_disclosure:E1c,FOCAL 7.4 (number of lobbyists) implied by PRI E1c (lobbyists listed by name)
focal_2024,7.5,NEW,
focal_2024,7.6,pri_2010_disclosure:E1f_i & pri_2010_disclosure:E1f_ii & pri_2010_disclosure:E1f_iii,FOCAL 7.6 (total expenditure) = AND of PRI E1f_i (comp) + E1f_ii (non-comp) + E1f_iii (other)
focal_2024,7.7,pri_2010_disclosure:E1f_i & pri_2010_disclosure:E1f_ii,FOCAL 7.7 (compensated vs uncompensated) = AND of PRI E1f_i + E1f_ii
focal_2024,7.8,NEW,
focal_2024,7.9,NEW,
focal_2024,7.10,pri_2010_disclosure:E1f_iii,FOCAL 7.10 (gifts / non-financial benefits) ≈ PRI E1f_iii (gifts/entertainment/transport/lodging)
focal_2024,7.11,NEW,
focal_2024,8.1,NEW,
focal_2024,8.2,NEW,
focal_2024,8.3,NEW,
focal_2024,8.4,NEW,
focal_2024,8.5,NEW,
focal_2024,8.6,NEW,
focal_2024,8.7,NEW,
focal_2024,8.8,NEW,
focal_2024,8.9,NEW,
focal_2024,8.10,NEW,
focal_2024,8.11,NEW,
sunlight_2015,activity,pri_2010_disclosure:E1g_i | pri_2010_disclosure:E1g_ii | pri_2010_disclosure:E2g_i | pri_2010_disclosure:E2g_ii,"Sunlight Activity ordinal: -1 none, 0 general subjects, 1 bills, 2 bills+position"
sunlight_2015,position_taken,NEW,Sunlight Activity score 2 implies position-taken disclosure; concept absent from PRI
sunlight_2015,expenditure_transparency,pri_2010_disclosure:E1f_i | pri_2010_disclosure:E1f_ii | pri_2010_disclosure:E1f_iii | pri_2010_disclosure:E1f_iv | pri_2010_disclosure:E2f_i | pri_2010_disclosure:E2f_ii | pri_2010_disclosure:E2f_iii | pri_2010_disclosure:E2f_iv,"Sunlight ExpTrans ordinal: -1 no report, 0 lump, 1 broad categories, 2 itemized w/ dates+desc"
sunlight_2015,expenditure_format_granularity,NEW,Sunlight separates broad-categories from itemized-w/-dates+desc; PRI E*f_iv is binary itemized only
sunlight_2015,expenditure_itemization_threshold,NEW,Sunlight Threshold concept is itemization-threshold (different from PRI D1 registration-threshold)
sunlight_2015,document_accessibility,pri_2010_accessibility:Q1 | pri_2010_accessibility:Q6 | pri_2010_accessibility:Q8,"Sunlight DocAccess ordinal -2..2; overlaps PRI Q1 (data exists), Q6 (analysis-ready download), Q8 (multi-sort)"
sunlight_2015,compensation,pri_2010_disclosure:E1f_i | pri_2010_disclosure:E2f_i,"Sunlight Compensation: -1 not disclosed, 0 disclosed; PRI splits principal vs lobbyist sides"
newmark_2017,def_legislative_lobbying,REG_LOBBYIST,EXISTS; universal-yes definition trigger; notes-flagged for v1.2 review
newmark_2017,def_admin_agency_lobbying,DEF_ADMIN_AGENCY_LOBBYING_TRIGGER,NEW; notes-flagged for v1.2 review
newmark_2017,def_elected_officials,DEF_ELECTED_OFFICIAL_AS_LOBBYIST,NEW; notes-flagged for v1.2 review
newmark_2017,def_public_employees,DEF_PUBLIC_EMPLOYEE_AS_LOBBYIST,NEW; notes-flagged for v1.2 review
newmark_2017,def_compensation_standard,DEF_COMPENSATION_STANDARD,NEW (income-side; distinct from PRI D1 expenditure-side); notes-flagged for v1.2 review
newmark_2017,def_expenditure_standard,DEF_EXPENDITURE_STANDARD,NEW (v1.2 inclusion-framed standard); was EXISTS to PRI D1 in v2 audit
newmark_2017,def_time_standard,DEF_TIME_STANDARD,NEW (v1.2 inclusion-framed standard); was EXISTS to PRI D2 in v2 audit
newmark_2017,prohib_contribs_anytime,OUT_OF_SCOPE,Prohibition; no filing carries this as data
newmark_2017,prohib_contribs_session,OUT_OF_SCOPE,Prohibition
newmark_2017,prohib_solicitation,OUT_OF_SCOPE,Prohibition
newmark_2017,prohib_contingent_comp,OUT_OF_SCOPE,Prohibition
newmark_2017,prohib_revolving_door,OUT_OF_SCOPE,Restriction; no filing
newmark_2017,disc_seeking_to_influence,pri_2010_disclosure:E1g_i | pri_2010_disclosure:E1g_ii | pri_2010_disclosure:E2g_i | pri_2010_disclosure:E2g_ii,MERGE; binary 'subject of influence disclosed' = disjunction over PRI's principal/lobbyist x general/bill 4-row split
newmark_2017,disc_exp_benefitting_officials,pri_2010_disclosure:E1f_iii | pri_2010_disclosure:E2f_iii,EXISTS; folds into both OTHER_COSTS rows (already covered via FOCAL 7.10)
newmark_2017,disc_comp_by_employer,focal_2024:7.2,EXISTS; FIN_INCOME_PER_CLIENT (FOCAL 7.2) directly captures break-down
newmark_2017,disc_total_compensation,pri_2010_disclosure:E2f_i,EXISTS; direct match to RPT_LOBBYIST_COMPENSATION
newmark_2017,disc_categories_expenditures,sunlight_2015:expenditure_format_granularity,EXISTS; Sunlight granularity ordinal captures categories disclosed
newmark_2017,disc_total_expenditures,(pri_2010_disclosure:E1f_i & pri_2010_disclosure:E1f_ii & pri_2010_disclosure:E1f_iii) | (pri_2010_disclosure:E2f_i & pri_2010_disclosure:E2f_ii & pri_2010_disclosure:E2f_iii),MERGE; mirrors FOCAL 7.6 dedup pattern (total = comp + non-comp + other on either side)
newmark_2017,disc_contribs_received,pri_2010_disclosure:E1j,EXISTS; folds into RPT_PRINCIPAL_FINANCIAL_CONTRIBUTORS
newmark_2005,def_legislative_lobbying,REG_LOBBYIST,EXISTS; same as Newmark 2017 (subset); dropped from active scoring as constant
newmark_2005,def_admin_agency_lobbying,DEF_ADMIN_AGENCY_LOBBYING_TRIGGER,NEW (Newmark 2017 mirror); notes-flagged
newmark_2005,def_elected_officials,DEF_ELECTED_OFFICIAL_AS_LOBBYIST,NEW (Newmark 2017 mirror); notes-flagged
newmark_2005,def_public_employees,DEF_PUBLIC_EMPLOYEE_AS_LOBBYIST,NEW (Newmark 2017 mirror); notes-flagged
newmark_2005,def_compensation_standard,DEF_COMPENSATION_STANDARD,NEW (Newmark 2017 mirror); notes-flagged
newmark_2005,def_expenditure_standard,DEF_EXPENDITURE_STANDARD,NEW (v1.2 inclusion-framed standard); was EXISTS to PRI D1 in v2 audit
newmark_2005,def_time_standard,DEF_TIME_STANDARD,NEW (v1.2 inclusion-framed standard); was EXISTS to PRI D2 in v2 audit
newmark_2005,freq_binary,pri_2010_disclosure:E1h_i | pri_2010_disclosure:E1h_ii | pri_2010_disclosure:E1h_iii | pri_2010_disclosure:E1h_iv | pri_2010_disclosure:E2h_i | pri_2010_disclosure:E2h_ii | pri_2010_disclosure:E2h_iii | pri_2010_disclosure:E2h_iv,MERGE; 'reports more frequent than annual' = disjunction over above-annual cadences on either side
newmark_2005,prohib_contribs_anytime,OUT_OF_SCOPE,Prohibition
newmark_2005,prohib_contribs_session,OUT_OF_SCOPE,Prohibition
newmark_2005,prohib_expenditures_over_cap,OUT_OF_SCOPE,Prohibition (gift-cap on lobbying expenditures); N2017 dropped this in favor of contingent-comp + revolving-door
newmark_2005,prohib_solicitation,OUT_OF_SCOPE,Prohibition
newmark_2005,disc_seeking_to_influence,pri_2010_disclosure:E1g_i | pri_2010_disclosure:E1g_ii | pri_2010_disclosure:E2g_i | pri_2010_disclosure:E2g_ii,MERGE; same as N17
newmark_2005,disc_exp_benefitting_officials,pri_2010_disclosure:E1f_iii | pri_2010_disclosure:E2f_iii,EXISTS; same as N17
newmark_2005,disc_comp_by_employer,focal_2024:7.2,EXISTS; same as N17
newmark_2005,disc_total_compensation,pri_2010_disclosure:E2f_i,EXISTS; same as N17
newmark_2005,disc_categories_expenditures,sunlight_2015:expenditure_format_granularity,EXISTS; same as N17
newmark_2005,disc_total_expenditures,(pri_2010_disclosure:E1f_i & pri_2010_disclosure:E1f_ii & pri_2010_disclosure:E1f_iii) | (pri_2010_disclosure:E2f_i & pri_2010_disclosure:E2f_ii & pri_2010_disclosure:E2f_iii),MERGE; same as N17
opheim_1991,def_legislative_lobbying,REG_LOBBYIST,EXISTS; same as Newmark dispositions
opheim_1991,def_admin_agency_lobbying,DEF_ADMIN_AGENCY_LOBBYING_TRIGGER,NEW; same as Newmark dispositions; notes-flagged
opheim_1991,def_elective_officials,DEF_ELECTED_OFFICIAL_AS_LOBBYIST,NEW; same as Newmark dispositions; notes-flagged
opheim_1991,def_public_employees,DEF_PUBLIC_EMPLOYEE_AS_LOBBYIST,NEW; same as Newmark dispositions; notes-flagged
opheim_1991,def_compensation_standard,DEF_COMPENSATION_STANDARD,NEW; same as Newmark dispositions; notes-flagged
opheim_1991,def_expenditure_standard,DEF_EXPENDITURE_STANDARD,NEW (v1.2 inclusion-framed standard); was EXISTS to PRI D1 in v2 audit
opheim_1991,def_time_standard,DEF_TIME_STANDARD,NEW (v1.2 inclusion-framed standard); was EXISTS to PRI D2 in v2 audit
opheim_1991,freq_binary,pri_2010_disclosure:E1h_i | pri_2010_disclosure:E2h_i,MERGE; 'monthly during session' = monthly cadence on either side
opheim_1991,disc_total_spending,(pri_2010_disclosure:E1f_i & pri_2010_disclosure:E1f_ii & pri_2010_disclosure:E1f_iii) | (pri_2010_disclosure:E2f_i & pri_2010_disclosure:E2f_ii & pri_2010_disclosure:E2f_iii),MERGE; same as N17 disc_total_expenditures
opheim_1991,disc_spending_by_category,sunlight_2015:expenditure_format_granularity,EXISTS; same as N17 disc_categories_expenditures
opheim_1991,disc_exp_benefitting_employees,pri_2010_disclosure:E1f_iii | pri_2010_disclosure:E2f_iii,EXISTS; same as N17 disc_exp_benefitting_officials
opheim_1991,disc_legislation_supported_opposed,sunlight_2015:position_taken,EXISTS; direct match to RPT_POSITION_TAKEN (Sunlight)
opheim_1991,disc_sources_of_income,focal_2024:7.2,EXISTS; same as N17 disc_comp_by_employer (FIN_INCOME_PER_CLIENT)
opheim_1991,disc_total_income,pri_2010_disclosure:E2f_i,EXISTS; same as N17 disc_total_compensation
opheim_1991,disc_other_influence_peddling,pri_2010_disclosure:E1j,EXISTS (catch-all per Decision Log D6); folded into RPT_PRINCIPAL_FINANCIAL_CONTRIBUTORS rather than NEW row
opheim_1991,enforce_review_thoroughness,OUT_OF_SCOPE,Enforcement
opheim_1991,enforce_subpoena_witnesses,OUT_OF_SCOPE,Enforcement
opheim_1991,enforce_subpoena_records,OUT_OF_SCOPE,Enforcement
opheim_1991,enforce_admin_hearings,OUT_OF_SCOPE,Enforcement
opheim_1991,enforce_admin_fines,OUT_OF_SCOPE,Enforcement
opheim_1991,enforce_admin_penalties,OUT_OF_SCOPE,Enforcement
opheim_1991,enforce_court_actions,OUT_OF_SCOPE,Enforcement
hired_guns_2007,Q1,DEF_ADMIN_AGENCY_LOBBYING_TRIGGER,EXISTS; same definition-trigger criterion as Newmark 2017
hired_guns_2007,Q2,pri_2010_disclosure:D1_present | DEF_COMPENSATION_STANDARD | pri_2010_disclosure:D1_value | DEF_EXPENDITURE_STANDARD,MERGE; CPI Q2 conflates compensation + expenditure thresholds + threshold value into one multi-tier score; v1.2: also targets new DEF_EXPENDITURE_STANDARD inclusion-framed row
hired_guns_2007,Q3,pri_2010_disclosure:A1,EXISTS; REG_LOBBYIST
hired_guns_2007,Q4,REG_PRE_LOBBYING_REGISTRATION_WINDOW,NEW
hired_guns_2007,Q5,REG_BILL_SUBJECT_ON_REGISTRATION,NEW
hired_guns_2007,Q6,REG_REGISTRATION_RENEWAL_FREQUENCY,NEW
hired_guns_2007,Q7,REG_CHANGE_NOTIFICATION_WINDOW,NEW
hired_guns_2007,Q8,REG_PHOTO_REQUIRED,NEW
hired_guns_2007,Q9,pri_2010_disclosure:E2c,EXISTS; RPT_LOBBYIST_PRINCIPAL_NAMES (registration vs report — same data point)
hired_guns_2007,Q10,focal_2024:4.6,EXISTS; RPT_LOBBYIST_CONTRACT_TYPE
hired_guns_2007,Q11,pri_2010_disclosure:E2a,EXISTS; RPT_LOBBYIST_GATE
hired_guns_2007,Q12,pri_2010_disclosure:E2h_i | pri_2010_disclosure:E2h_ii | pri_2010_disclosure:E2h_iii | pri_2010_disclosure:E2h_iv | pri_2010_disclosure:E2h_v | pri_2010_disclosure:E2h_vi,EXISTS via disjunction over FREQ_LOBBYIST_*
hired_guns_2007,Q13,pri_2010_disclosure:E2f_i,EXISTS; RPT_LOBBYIST_COMPENSATION
hired_guns_2007,Q14,sunlight_2015:expenditure_format_granularity,EXISTS; RPT_EXPENDITURE_FORMAT_GRANULARITY
hired_guns_2007,Q15,sunlight_2015:expenditure_itemization_threshold,EXISTS; RPT_EXPENDITURE_ITEMIZATION_THRESHOLD
hired_guns_2007,Q16,RPT_ITEMIZED_PRINCIPAL_BENEFITED,NEW
hired_guns_2007,Q17,RPT_ITEMIZED_RECIPIENT,NEW
hired_guns_2007,Q18,RPT_ITEMIZED_DATE,NEW
hired_guns_2007,Q19,RPT_ITEMIZED_DESCRIPTION,NEW
hired_guns_2007,Q20,pri_2010_disclosure:E2g_i | pri_2010_disclosure:E2g_ii,EXISTS via disjunction over RPT_LOBBYIST_ISSUE_GENERAL + RPT_LOBBYIST_BILL_SPECIFIC
hired_guns_2007,Q21,RPT_HOUSEHOLD_OF_OFFICIAL_SPENDING,NEW
hired_guns_2007,Q22,focal_2024:6.4,EXISTS; REL_OFFICIAL_BUSINESS_TIES
hired_guns_2007,Q23,(pri_2010_disclosure:E1f_iii | pri_2010_disclosure:E2f_iii) | OUT_OF_SCOPE,"PARTIAL; reported half = OTHER_COSTS rows, limit/prohibition halves OUT_OF_SCOPE"
hired_guns_2007,Q24,focal_2024:7.11 | OUT_OF_SCOPE,"PARTIAL; disclosed half = FIN_CAMPAIGN_CONTRIBUTIONS, prohibition half OUT_OF_SCOPE"
hired_guns_2007,Q25,RPT_ZERO_ACTIVITY_FILING,NEW
hired_guns_2007,Q26,pri_2010_disclosure:E1a,EXISTS; RPT_PRINCIPAL_GATE
hired_guns_2007,Q27,pri_2010_disclosure:E1f_i,EXISTS; RPT_PRINCIPAL_COMPENSATION
hired_guns_2007,Q28,pri_2010_accessibility:Q2,EXISTS via ACC_DEDICATED_WEBSITE (online registration filing)
hired_guns_2007,Q29,pri_2010_accessibility:Q2,EXISTS via ACC_DEDICATED_WEBSITE (online spending report filing)
hired_guns_2007,Q30,OUT_OF_SCOPE,Deferred (accessibility-side training feature; no current row; reconsider in a follow-up accessibility audit)
hired_guns_2007,Q31,pri_2010_accessibility:Q6,EXISTS via ACC_DOWNLOAD_ANALYSIS_READY (registrations directory format)
hired_guns_2007,Q32,pri_2010_accessibility:Q6,EXISTS via ACC_DOWNLOAD_ANALYSIS_READY (spending reports format)
hired_guns_2007,Q33,ACC_COPIES_COST,NEW
hired_guns_2007,Q34,ACC_SAMPLE_FORMS_ONLINE,NEW
hired_guns_2007,Q35,ACC_AGGREGATE_TOTALS_BY_YEAR,NEW
hired_guns_2007,Q36,ACC_AGGREGATE_TOTALS_BY_DEADLINE,NEW
hired_guns_2007,Q37,ACC_AGGREGATE_TOTALS_BY_INDUSTRY,NEW
hired_guns_2007,Q38,focal_2024:2.1,EXISTS; ACC_REGISTRY_UPDATE_FRESHNESS
hired_guns_2007,Q39,OUT_OF_SCOPE,Enforcement
hired_guns_2007,Q40,OUT_OF_SCOPE,Enforcement
hired_guns_2007,Q41,OUT_OF_SCOPE,Penalty
hired_guns_2007,Q42,OUT_OF_SCOPE,Penalty
hired_guns_2007,Q43,OUT_OF_SCOPE,Enforcement
hired_guns_2007,Q44,OUT_OF_SCOPE,Penalty
hired_guns_2007,Q45,OUT_OF_SCOPE,Penalty
hired_guns_2007,Q46,OUT_OF_SCOPE,Enforcement
hired_guns_2007,Q47,OUT_OF_SCOPE,Enforcement-publication; borderline — reconsider if downstream consumer wants delinquent-filer signal
hired_guns_2007,Q48,OUT_OF_SCOPE,Revolving-door restriction; FOCAL 5.2 row REVOLVING_COOLING_OFF_DATABASE is distinct (database of restricted officials)
opensecrets_2022,lobbyist_client_separate,REG_SEPARATE_LOBBYIST_CLIENT_FILINGS,NEW
opensecrets_2022,compensation,pri_2010_disclosure:E2f_i | pri_2010_disclosure:E1f_i | focal_2024:7.2,EXISTS via disjunction over compensation rows
opensecrets_2022,timely_disclosure,(pri_2010_disclosure:E1h_i | pri_2010_disclosure:E1h_ii) & (pri_2010_disclosure:E2h_i | pri_2010_disclosure:E2h_ii),EXISTS; baseline = monthly during session + quarterly otherwise = conjunction of (monthly | quarterly) on each side
opensecrets_2022,public_search,pri_2010_accessibility:Q8,EXISTS; ACC_MULTI_CRITERIA_SORT
opensecrets_2022,public_lists,pri_2010_accessibility:Q1 | pri_2010_accessibility:Q2,EXISTS via ACC_DATA_AVAILABLE_AT_ALL + ACC_DEDICATED_WEBSITE
opensecrets_2022,public_download,pri_2010_accessibility:Q6,EXISTS; ACC_DOWNLOAD_ANALYSIS_READY
opensecrets_2022,targeted_legislation_gap,pri_2010_disclosure:E1g_ii | pri_2010_disclosure:E2g_ii,EXISTS; OpenSecrets flagged this as a gap most states don't address
