#,row_id,criterion,tag,evidence,note
1,DEF_ADMIN_AGENCY_LOBBYING_TRIGGER,C1,axis-ambiguous-name,"ID `DEF_ADMIN_AGENCY_LOBBYING_TRIGGER` reads ambiguously: could mean ""lobbying *by* admin agencies"" (actor-axis, parallel to REG_EXECUTIVE_AGENCY) or ""lobbying *of* admin agencies"" (target-axis, what the description says). Description leads with explicit ""TARGET axis"" tag; ID does not.",seed example from iter-1; described in handoff brief
2,DEF_ELECTED_OFFICIAL_AS_LOBBYIST,C1,axis-ambiguous-name,"ID is explicit: ""ELECTED_OFFICIAL_AS_LOBBYIST"" pins actor-axis well. But description warns ""Distinct from elected officials as the targets of lobbying (which is implicit in any legislative-regime definition)"" — a possible-confusion pair the ID itself does not foreclose to a hurried reader. Lower-confidence concern than DEF_ADMIN_AGENCY_LOBBYING_TRIGGER; flagged for cross-domain consistency review.",confidence: low
3,DEF_PUBLIC_EMPLOYEE_AS_LOBBYIST,C1,axis-ambiguous-name,"Same shape as #2. ID is ""PUBLIC_EMPLOYEE_AS_LOBBYIST"" — actor-leaning. Description disambiguates ""as actors"", but a hurried reader could conflate with public-employees-as-targets-of-lobbying or with REG_EXECUTIVE_AGENCY (institutional-actor case). Lower-confidence.",confidence: low
4,DEF_PUBLIC_ENTITY,C5,wrong-domain,"Row sits in `domain=""registration""` but is a definitional predicate (""Does the law include a definition of 'public entity'?"") — the v1.2 D11 test (""Does this answer 'who is a lobbyist?' or 'what does a lobbyist file?'"") arguably routes it to `definitions`. D11 framed `definitions` as predicates ""on the agent""; ""public entity"" is precisely such a predicate (organizations as agents). Appears to revisit D11.",confidence: medium; flag for Phase 1 adjudication.
5,DEF_PUBLIC_ENTITY_OWNERSHIP,C5,wrong-domain,"Same as #4 — sub-criterion of the public-entity definition; sits in `registration`. If parent moves to `definitions`, three sub-criteria (`_OWNERSHIP`, `_STRUCTURE`, `_CHARTER`) move with it. Appears to revisit D11.",confidence: medium
6,DEF_PUBLIC_ENTITY_STRUCTURE,C5,wrong-domain,Same as #5. Appears to revisit D11.,confidence: medium
7,DEF_PUBLIC_ENTITY_CHARTER,C5,wrong-domain,Same as #5. Appears to revisit D11.,confidence: medium
8,DEF_PUBLIC_ENTITY,C1,name-misleading,"The `DEF_*` prefix in this compendium is now strongly associated with `domain=""definitions""` (post-v1.2). This row uses `DEF_*` but lives in `registration`. If the row stays in `registration`, the prefix is misleading; if it moves (#4), the prefix becomes consistent. Cross-loaded with C5 above.",confidence: medium; entanglement w/ #4
9,DEF_PUBLIC_ENTITY_OWNERSHIP,C1,name-misleading,Same as #8 (DEF_* prefix vs registration domain).,
10,DEF_PUBLIC_ENTITY_STRUCTURE,C1,name-misleading,Same as #8.,
11,DEF_PUBLIC_ENTITY_CHARTER,C1,name-misleading,Same as #8.,
12,THRESHOLD_LOBBYING_MATERIALITY_GATE,C1,axis-ambiguous-name,"""THRESHOLD_LOBBYING_MATERIALITY_GATE"" reads as a quantitative threshold name to a fellow who hasn't read the description. The description leads with ""THRESHOLD axis (qualitative)"" and explicitly contrasts with `DEF_COMPENSATION_STANDARD` / `DEF_EXPENDITURE_STANDARD` / `DEF_TIME_STANDARD`. Without that disambiguating description, ""threshold"" reads numeric. (chunk-frame preamble exists for `definitions`.)",confidence: medium
13,THRESHOLD_LOBBYING_EXPENDITURE_PRESENT,C1,axis-ambiguous-name,"ID `THRESHOLD_LOBBYING_EXPENDITURE_PRESENT` does not telegraph that this is the *exemption-framed* counterpart to `DEF_EXPENDITURE_STANDARD` (inclusion-framed). The two rows are deliberately distinct (D11 disambiguation rule), but on ID alone they look like the same row split by accident. Description carries the burden.",confidence: medium
14,THRESHOLD_LOBBYING_TIME_PRESENT,C1,axis-ambiguous-name,"Same shape as #13. ID does not encode ""exemption-framed"" vs `DEF_TIME_STANDARD`'s ""inclusion-framed"". Description carries the burden.",confidence: medium
15,THRESHOLD_LOBBYING_EXPENDITURE_PRESENT,C5,wrong-domain,"Sits in `registration`; D11 placed it there because ""exemption-framed thresholds are registration gates."" But the row is a predicate on whether the agent counts as a lobbyist (the exemption result is ""you don't have to file"") — same conceptual layer as `DEF_EXPENDITURE_STANDARD`, which D11 placed in `definitions`. Appears to revisit D11; the conceptual line ""predicate on the agent ↔ definitions"" applies to both rows in the inclusion/exemption pair.",confidence: medium; appears to revisit D11.
16,THRESHOLD_LOBBYING_TIME_PRESENT,C5,wrong-domain,Same as #15 — exemption-side time threshold paired with `DEF_TIME_STANDARD` in `definitions`. Appears to revisit D11.,confidence: medium
17,THRESHOLD_LOBBYING_EXPENDITURE_VALUE,C5,wrong-domain,"Numeric value of the threshold in #15. If #15 moves, this moves with it. Same conceptual class. Appears to revisit D11.",confidence: medium
18,THRESHOLD_LOBBYING_TIME_VALUE,C5,wrong-domain,Same as #17 (numeric value paired with #16). Appears to revisit D11.,confidence: medium
19,REG_LOBBYIST,C2,description-narrower-than-rubric,"Row description is just `Lobbyists.` — bare word lifted from PRI A1 (""Lobbyists.""). framework_references span 6 rubrics with substantively different anchorings: PRI A1 (lobbyist-must-register), FOCAL 1.1 (registry coverage of *types* of lobbyists), Newmark 2017/2005/Opheim `def_legislative_lobbying` (legislative lobbying as definition criterion), Hired Guns Q3 (""Is a lobbyist required to file a registration form?""). The single-word description is too thin to disambiguate which question the row is the canonical home for. v2 audit folded `def_legislative_lobbying` here as universal-yes (Decision Log D2); the description does not tell the harness that.",confidence: high
20,REG_VOLUNTEER_LOBBYIST,C2,description-narrower-than-rubric,"Description is `Volunteer lobbyists.` — same shape as #19. PRI A2 was a single-token criterion; the description inherits PRI's brevity, leaving the harness without scoping (e.g., do volunteer lobbyists for nonprofits qualify? does ""volunteer"" mean uncompensated only?). Sits across PRI A2 and FOCAL 1.1's broader ""types"" claim.",confidence: medium
21,REG_PRINCIPAL,C2,description-narrower-than-rubric,"Description `Principals who employ a lobbyist.` is bare. framework_references include PRI A3, FOCAL 1.1, OpenSecrets `client_registers` (""Client identifiable in registration data""). OpenSecrets's question is about *whether the client appears in registration data* (data-architecture concern); PRI A3 is about *whether principals must register* (filing requirement). These are subtly different questions; row description picks PRI's framing without acknowledging the OS shading.",confidence: medium
22,REG_LOBBYING_FIRM,C2,description-narrower-than-rubric,Description `Lobbying firms.` — same shape as #19/#20.,confidence: low
23,REG_GOVERNORS_OFFICE,C2,description-narrower-than-rubric,Description `Governor's office.` — bare PRI A5.,confidence: low
24,REG_EXECUTIVE_AGENCY,C2,description-narrower-than-rubric,"Description `Executive branch agencies.` — bare PRI A6. The handoff doc explicitly calls out this row as the *actor-axis* counterpart to DEF_ADMIN_AGENCY_LOBBYING_TRIGGER's *target-axis* — i.e., ""FDA staff lobbying Congress on behalf of FDA"" — but the row description does not encode that distinction.",confidence: high; entangled w/ #28
25,REG_LEGISLATIVE_BRANCH,C2,description-narrower-than-rubric,Description `Legislative branch.` — bare PRI A7.,confidence: low
26,REG_INDEPENDENT_AGENCY,C2,description-narrower-than-rubric,Description `Independent agencies.` — bare PRI A8.,confidence: low
27,REG_LOCAL_GOVERNMENT,C2,description-narrower-than-rubric,Description `Local governments.` — bare PRI A9.,confidence: low
28,REG_GOVT_LOBBYING_GOVT,C2,description-narrower-than-rubric,Description `Government agencies who lobby other agencies.` is the actor-axis case the chunk-frame preamble for `definitions` cites as out-of-`definitions`-chunk. Row description does not reference DEF_ADMIN_AGENCY_LOBBYING_TRIGGER (target-axis counterpart) for harness disambiguation.,"confidence: high; entangled w/ #1, #24"
29,REG_OTHER_PUBLIC_ENTITY,C2,description-narrower-than-rubric,"Description `Public entities, other than government agencies.` — bare PRI A11. Suffers same brevity as the rest of the A-series.",confidence: low
30,EXEMPT_GOVT_OFFICIAL_CAPACITY,C1,name-misleading,"ID prefix `EXEMPT_*` distinguishes from `REG_*`/`PARITY_*`, and the field is conceptually an ""exemption exists"" boolean — but the row name suggests it's the exemption itself, not a question about the law providing one. Description is verbatim PRI B1's question and lands fine; the ID could read as data-about-an-exempt-entity rather than a meta-question.",confidence: low
31,EXEMPT_GOVT_PARTIAL_RELIEF,C1,axis-ambiguous-name,"ID `EXEMPT_GOVT_PARTIAL_RELIEF` suggests partial-relief mechanism existence, but does not pin the axis (is it about ""are agencies relieved"" or ""do agencies get partial vs full relief""?). PRI B2 frames it as a yes/no on relief existing, which the description carries; ID is ambiguous about whether it's a tier-question or a yes/no.",confidence: low
32,PARITY_GOVT_AS_LOBBYIST,C2,description-narrower-than-rubric,Description is verbatim PRI B3's question — adequate for PRI but row spans only PRI; no description issue. Flag retracted as a C2 — but flag instead under C4 below for cross-row scope clarity vs B1/B2/B4.,retracted; carry to C4 cluster
33,PARITY_GOVT_AS_LOBBYIST,C4,cross-row-overlap,PRI B-series (B1 → EXEMPT_GOVT_OFFICIAL_CAPACITY; B2 → EXEMPT_GOVT_PARTIAL_RELIEF; B3 → PARITY_GOVT_AS_LOBBYIST; B4 → PARITY_GOVT_AS_PRINCIPAL) ask four interrelated questions about the same statutory mechanism (government-agency exemption posture). PARITY_GOVT_AS_LOBBYIST and PARITY_GOVT_AS_PRINCIPAL particularly overlap with EXEMPT_GOVT_OFFICIAL_CAPACITY in structure; the harness has no disambiguation rule for which row a given exemption-mechanism statute populates.,confidence: medium
34,PARITY_GOVT_AS_PRINCIPAL,C4,cross-row-overlap,Pair to #33; same overlap structure.,confidence: medium
35,DEF_PUBLIC_ENTITY,C3,cluster-asks-two-questions,"framework_references contain only PRI C0 (verbatim ""Does the law include a definition of 'public entity'?""). Single rubric, single item — no cluster ambiguity. Flag retracted.",retracted
36,THRESHOLD_LOBBYING_MATERIALITY_GATE,C3,cluster-asks-two-questions,"framework_references include PRI D0 (""materiality test (ability to exempt)""), Newmark 2017/2005/Opheim ""def_materiality_umbrella"" (""standards each imply a materiality test""), Hired Guns Q2_umbrella (""qualification-threshold tiers presume some materiality test""). PRI D0 is **exemption-framed** materiality (qualitative gate to exempt); Newmark/Opheim's ""umbrella"" framing is *meta* (the existence of standards implies materiality testing) — not a primary statute reading question. CPI Q2_umbrella is similarly meta. The cluster mixes one direct statute-reading question (PRI D0) with three derivative inferences. The derivative refs were added in v1.2's curation-gap fix per D11; v3 should review whether they belong on this row or are better captured as cross-row dedup-map entries.",confidence: medium
37,THRESHOLD_LOBBYING_EXPENDITURE_PRESENT,C3,cluster-asks-two-questions,"framework_references include PRI D1_present (statute exempts expenses < $X), FOCAL 1.2 (""no/low financial-or-time threshold""), Hired Guns Q2_expenditure (""expenditure portion of CPI Q2 qualification threshold""). PRI D1_present is exemption-framed; FOCAL 1.2 is a polarity-flipped value-judgment (""no/low threshold is good""); Hired Guns Q2_expenditure is qualification-threshold (inclusion-flavored). Three different framings on one row — D11 nominally resolved this by tightening descriptions (""exemption-framed only""), but the framework_references cluster spans inclusion + exemption.",confidence: medium; appears to revisit D11.
38,THRESHOLD_LOBBYING_TIME_PRESENT,C3,cluster-asks-two-questions,"Same shape as #37 — PRI D2_present (exemption) + FOCAL 1.2 (no/low threshold) on a row whose description tightened to ""exemption-framed only"" per D11.",confidence: medium; appears to revisit D11.
39,THRESHOLD_LOBBYING_EXPENDITURE_VALUE,C2,description-narrower-than-rubric,"Description `Dollar value of the lobbying-expenditure threshold (whether framed as inclusion or exemption).` claims the row covers both framings, but the *paired* boolean row (THRESHOLD_LOBBYING_EXPENDITURE_PRESENT) was tightened to exemption-only per D11. Inclusion-framed value belongs to DEF_EXPENDITURE_STANDARD's adjacent value (which doesn't exist as a separate row). Asymmetry: PRESENT split into two boolean rows; VALUE remained one numeric row claiming both framings.",confidence: high; appears to revisit D11.
40,THRESHOLD_LOBBYING_TIME_VALUE,C2,description-narrower-than-rubric,Same asymmetry as #39 — VALUE row claims both framings while PRESENT row was split exemption-only.,confidence: high; appears to revisit D11.
41,RPT_PRINCIPAL_GATE,C1,name-misleading,"ID `RPT_PRINCIPAL_GATE` suggests a gate-on-the-principal (e.g., a registration gate), but the row is ""Principal must file disclosure report"" — i.e., the gate is on *whether the principal must file at all*. Description (""Are principals required to disclose?"") matches PRI E1a but ID's ""GATE"" usage isn't anchored anywhere.",confidence: low
42,RPT_PRINCIPAL_LOBBYIST_NAMES,C1,axis-ambiguous-name,"ID could read as ""lobbyist names that the principal lists"" (correct) or ""principal-lobbyist-names"" as an entity type. Description is clear; ID is ambiguous.",confidence: low
43,RPT_LOBBYIST_PRINCIPAL_NAMES,C1,axis-ambiguous-name,Symmetric pair to #42.,confidence: low
44,RPT_PRINCIPAL_OTHER_COSTS,C2,description-broader-than-rubric,"Description `Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.` is verbatim PRI E1f_iii. Row's framework_references add Newmark 2017/2005's `disc_exp_benefitting_officials` (""Expenditures benefitting public officials or employees"") and Opheim's `disc_exp_benefitting_employees` (""Expenditures benefitting public employees including gifts"") — substantively narrower than ""other costs"" (Newmark/Opheim are about *recipient* of the expenditure, not the cost category). Plus FOCAL 7.10 (""Expenditures benefitting public officials or employees...""). The row mixes ""cost category"" framing (PRI) with ""recipient framing"" (Newmark/Opheim/FOCAL); description privileges PRI framing.",confidence: high
45,RPT_LOBBYIST_OTHER_COSTS,C2,description-broader-than-rubric,Symmetric pair to #44. Same mix of cost-category framing (PRI) vs recipient framing (Newmark/Opheim).,confidence: high
46,RPT_PRINCIPAL_FINANCIAL_CONTRIBUTORS,C3,cluster-asks-two-questions,"framework_references include PRI E1j (major financial contributors), FOCAL 6.2 (sponsors/members), FOCAL 7.3 (income sources + amount), Newmark 2017 `disc_contribs_received` (contributions received from others for lobbying), Opheim `disc_other_influence_peddling` (the catch-all). Five rubric items spanning three substantively different questions: (a) who funds the principal's lobbying (PRI E1j, Newmark, FOCAL 7.3), (b) who funds the principal as a member organization (FOCAL 6.2 sponsors/members), and (c) Opheim's catch-all ""other influence peddling"" (D6 acknowledged this is a stretch). Cluster is doing too much.",confidence: high
47,RPT_LOBBYIST_CONTACTS_LOGGED,C2,description-narrower-than-rubric,Description `Are lobbyists required to disclose contacts?` is verbatim PRI E2i but is the *gate* row for the contact_log domain (notes field says so explicitly). Description doesn't acknowledge that the answer to this row implies whether any of the 11 CONTACT_* downstream rows can be populated.,confidence: medium
48,RPT_PRINCIPAL_CONTACTS_LOGGED,C2,description-narrower-than-rubric,Symmetric pair to #47.,confidence: medium
49,RPT_PRINCIPAL_ITEMIZED,C4,cross-row-overlap,"RPT_PRINCIPAL_ITEMIZED (PRI E1f_iv: itemized vs lump-sum) is conceptually a binary on whether the principal report is itemized. RPT_EXPENDITURE_FORMAT_GRANULARITY (Sunlight ordinal -1..2: no/lump/broad-categories/itemized-w-dates) is a richer ordinal on the same axis. Both rows can plausibly fire on a ""is the report itemized?"" statute reading.",confidence: medium
50,RPT_LOBBYIST_ITEMIZED,C4,cross-row-overlap,Symmetric pair to #49.,confidence: medium
51,RPT_EXPENDITURE_FORMAT_GRANULARITY,C4,cross-row-overlap,"Other end of #49/#50 cross-row overlap. RPT_EXPENDITURE_FORMAT_GRANULARITY's description is bare (""Expenditure format granularity."") and offers no rule for how it relates to the side-specific itemized rows.",confidence: medium
52,RPT_EXPENDITURE_FORMAT_GRANULARITY,C2,description-narrower-than-rubric,"Description `Expenditure format granularity.` is two words. framework_references span Sunlight (ordinal scale -1..2 with explicit tiers), Newmark 2017/2005 (`disc_categories_expenditures`), Opheim (`disc_spending_by_category`), Hired Guns Q14 (""Are summaries of spending classified by category types?""). Sunlight's ordinal is much richer than Newmark/Opheim's binary ""are categories disclosed"". Row description doesn't communicate that the data_type is `categorical` (per CSV) and what the ordinal means.",confidence: high
53,RPT_EXPENDITURE_ITEMIZATION_THRESHOLD,C2,description-misscoped,"Description `Threshold below which expenditure itemization is not required.` matches Sunlight's concept but Hired Guns Q15 (""What spending must be itemized?"") is differently framed — Q15 asks about the rule for itemization scope, not specifically a dollar threshold. Q15 admits answer values that aren't dollar thresholds (e.g., ""any expenditure over $X must be itemized"" vs ""all itemized"" vs ""no itemization required"").",confidence: medium
54,RPT_LOBBYIST_COMPENSATION,C3,cluster-asks-two-questions,"framework_references include PRI E2f_i (lobbyist compensation), FOCAL 7.1 (total lobbying income for consultants/firms), Sunlight `expenditure_transparency` + `compensation`, Newmark 2017/2005 `disc_total_compensation`, Opheim `disc_total_income`, Hired Guns Q13, OpenSecrets `compensation`. The cluster spans: (a) lobbyist *compensation* received (income-side); (b) lobbyist *expenditure on lobbying* via the same line item (expenditure-side, since on a consultant's report, compensation is spending). FOCAL 7.1 is income-side; Sunlight's `expenditure_transparency` is expenditure-side. Cluster bundles two structurally different questions.",confidence: medium
55,RPT_PRINCIPAL_COMPENSATION,C3,cluster-asks-two-questions,Symmetric pair to #54: PRI E1f_i (principal report's compensation paid out) + FOCAL 7.6/7.7 (totals/uncompensated split) + Sunlight + Hired Guns Q27 + OpenSecrets. Same kind of cluster spread.,confidence: medium
56,RPT_LOBBYIST_NON_COMPENSATION,C2,description-narrower-than-rubric,"Description `Required component of disclosure report: Indirect lobbying costs (non-compensation).` is verbatim PRI E2f_ii. Sunlight `expenditure_transparency` (an ordinal) is the only other ref; its mapping to E2f_ii is via the dedup map's disjunction, not a direct equivalence.",confidence: low
57,RPT_PRINCIPAL_NON_COMPENSATION,C2,description-narrower-than-rubric,Symmetric pair to #56.,confidence: low
58,FREQ_PRINCIPAL_TRI_ANNUAL,C2,description-narrower-than-rubric,"Description `Reporting frequency option: Tri-annually (linked with legislative calendar).` is verbatim PRI E1h_iii. Single-rubric row, no cluster; the description is fine on PRI's terms but doesn't disambiguate ""tri-annual"" (3x/year) from ""triennial"" (every 3 years) — a known statute-reading hazard.",confidence: low
59,FREQ_LOBBYIST_TRI_ANNUAL,C2,description-narrower-than-rubric,Symmetric pair to #58.,confidence: low
60,FREQ_PRINCIPAL_OTHER,C1,axis-ambiguous-name,"ID `FREQ_PRINCIPAL_OTHER` doesn't telegraph that this is a free-text catch-all on the cadence ordinal; ""OTHER"" reads as a category-name. data_type is `free_text` per CSV.",confidence: low
61,FREQ_LOBBYIST_OTHER,C1,axis-ambiguous-name,Symmetric pair to #60.,confidence: low
62,DEF_ADMIN_AGENCY_LOBBYING_TRIGGER,C3,cluster-asks-two-questions,"framework_references include Newmark 2017/2005 `def_admin_agency_lobbying` (""Administrative agency lobbying""), Opheim 1991 `def_admin_agency_lobbying` (""Administrative agency lobbying as criterion in definition""), Hired Guns Q1 (""does the definition recognize executive branch lobbyists?""). All four anchor target-axis (lobbying *of* admin/executive agencies). The cluster is cohesive on axis. **No C3 concern.** Flag retracted.",retracted
63,DEF_ELECTED_OFFICIAL_AS_LOBBYIST,C3,cluster-asks-two-questions,Cohesive — Newmark/Opheim/2005 `def_elected_officials` actor-axis. **No C3 concern.** Flag retracted.,retracted
64,DEF_PUBLIC_EMPLOYEE_AS_LOBBYIST,C3,cluster-asks-two-questions,Cohesive — Newmark 2017/2005 + Opheim `def_public_employees` actor-axis. **No C3 concern.** Flag retracted.,retracted
65,DEF_COMPENSATION_STANDARD,C3,cluster-asks-two-questions,"framework_references include Newmark 2017/2005 + Opheim `def_compensation_standard` (income-side standard), Hired Guns Q2_compensation (""compensation portion of qualification threshold""). All anchor income-side inclusion threshold. **No C3 concern.** Flag retracted.",retracted
66,DEF_EXPENDITURE_STANDARD,C3,cluster-asks-two-questions,Cohesive — Newmark/Opheim `def_expenditure_standard`. **No C3 concern.** Flag retracted.,retracted
67,DEF_TIME_STANDARD,C3,cluster-asks-two-questions,Cohesive — Newmark/Opheim `def_time_standard`. **No C3 concern.** Flag retracted.,retracted
68,RPT_OFFICIAL_DIARY_DISCLOSURE,C5,wrong-domain,"Row sits in `domain=""contact_log""` but its substance is ""do officials disclose their meeting calendars?"" — i.e., it's a *targets* requirement, not a *lobbyist's* contact log. The 11 other CONTACT_* rows in `contact_log` are about lobbyist-side per-meeting fields. RPT_OFFICIAL_DIARY_DISCLOSURE is structurally different — it's about ministerial transparency obligations imposed on officials. Could fit better in a new domain or in `accessibility` (since it tracks portal-published diaries).",confidence: medium
69,ACC_DIARIES_ONLINE,C4,cross-row-overlap,"ACC_DIARIES_ONLINE (FOCAL 3.2 — ""Diaries available online"") and RPT_OFFICIAL_DIARY_DISCLOSURE (FOCAL 2.3 — ""Ministerial diaries are disclosed monthly"") have overlapping subject matter (officials' diaries); ACC version is online-availability, RPT version is disclosure-cadence. Harness rule for distinguishing them is implicit in the domain assignment, not in the descriptions.",confidence: low
70,ACC_DATA_AVAILABLE_AT_ALL,C3,cluster-asks-two-questions,"framework_references include PRI Q1 (data available in any format/by any channel), FOCAL 3.3 (open license, machine-readable, etc. — much more demanding), Sunlight `document_accessibility` (portal usability ordinal), OpenSecrets `public_lists_baseline`. Cluster spans bare-availability (PRI Q1, easy) to open-data quality (FOCAL 3.3, demanding multi-condition). The description is verbatim PRI Q1, so the cluster has drifted past the description.",confidence: high
71,ACC_DEDICATED_WEBSITE,C3,cluster-asks-two-questions,"framework_references include PRI Q2 (dedicated website), FOCAL 3.1 (lobbyist register is online), Hired Guns Q28+Q29 (online registration *filing* + online spending-report *filing*), OpenSecrets `public_lists`. Cluster mixes ""is there a website?"" with ""do filings happen online?"" — different mechanisms. CPI Q28/Q29 specifically are about *filing* online (input side), while PRI Q2/FOCAL 3.1/OS are about *information availability* (output side).",confidence: medium
72,ACC_DOWNLOAD_ANALYSIS_READY,C3,cluster-asks-two-questions,"framework_references include PRI Q6 (analysis-ready download), FOCAL 3.3 (open data multi-condition), FOCAL 3.4 (downloadable), Sunlight `document_accessibility`, Hired Guns Q31+Q32 (format of registrations directory + format of spending reports), OpenSecrets `public_download`. FOCAL 3.3 belongs more naturally on ACC_DATA_AVAILABLE_AT_ALL (#70) per the dedup map's disjunctive expression; here it's also referenced for the format dimension. Cluster spans format (CPI Q31/Q32, Sunlight) + downloadability (FOCAL 3.4, OS) + analysis-ready format (PRI Q6) + open-data quality (FOCAL 3.3).",confidence: medium
73,ACC_MULTI_CRITERIA_SORT,C2,description-broader-than-rubric,"Description `Users can simultaneously sort lobbying data by multiple criteria.` is verbatim PRI Q8. Row name says ""(ordinal 0-15)"" — but PRI Q8 is the simultaneous-sort score that aggregates the 15 individual sort criteria of PRI Q7a-o. Description does not communicate the ordinal scale.",confidence: medium
74,ACC_MULTI_CRITERIA_SORT,C4,cross-row-overlap,"The 15 ACC_SORT_BY_* rows (PRI Q7a-o) each ask about a single sort dimension; ACC_MULTI_CRITERIA_SORT (PRI Q8) asks about simultaneous-multi-sort capability. The compendium represents Q8's 0-15 ordinal alongside Q7's 15 booleans — but harness rule for whether Q8's score = sum of Q7s, or independent, is not explicit.",confidence: medium
75,REG_LOBBYING_TARGETS_SCOPE,C2,description-broader-than-rubric,"Description is verbatim FOCAL 1.3 ""The following are included as targets of lobbying: legislative branches, executive branch officials, Ministers, Deputy Ministers..."" but US states do not have Ministers / Deputy Ministers / Director-Generals — those are Westminster-system terms. FOCAL was designed for international comparison; the row description carries the international taxonomy untranslated. data_type is `categorical` so the values are state-by-state, but the description implies a particular taxonomy.",confidence: high
76,REG_LOBBYING_ACTIVITY_FORMS_SCOPE,C2,description-broader-than-rubric,"Description is verbatim FOCAL 1.4 listing ""oral, written, electronic, virtual communications; organising meetings for others; events; phone calls and emails."" Same translation issue as #75 — FOCAL list is illustrative, but row description doesn't say so.",confidence: medium
77,ACC_REGISTRY_UPDATE_FRESHNESS,C3,cluster-asks-two-questions,"framework_references: FOCAL 2.1 (""changes updated close to real time, eg, daily"") + Hired Guns Q38 (""How often are lobby lists updated?""). FOCAL 2.1's specific anchor is ""daily""; Q38 is open-ended frequency. Cluster cohesive enough; flag is borderline.",confidence: low
78,ACC_REGISTRY_UPDATE_FRESHNESS,C2,description-misscoped,"Description `Changes (eg, registering/deregistering lobbyists, new clients) are updated close to real time (eg, daily).` is verbatim FOCAL 2.1; states' answer values include ""annual"" / ""manual"" / ""real-time"" — the data_type is `categorical` per CSV. Description does not enumerate the categorical scale.",confidence: low
