compendium_role	paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes	extension_rationale	best_core_match_paper	best_core_match_id	best_core_match_sim
core_hg	hired_guns_2007	Q1	In addition to legislative lobbyists, does the deﬁnition recognize executive branch lobbyists?	Deﬁnition of Lobbyist	boolean	No – 0 points Yes – 3 points	1. In addition to legislative lobbyists, does the deﬁnition recognize executive branch lobbyists? No – 0 points Yes – 3 points (papers/text/CPI_2007__hired_guns_methodology.txt:32)	"CPI explicitly carves out: ""States did not receive points for including executive communication in the deﬁnition only when it directly related to legislative action."" Implicit scope condition."				
core_hg	hired_guns_2007	Q2	How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?	Deﬁnition of Lobbyist	ordinal	Qualiﬁcation threshold: More than $500 made/spent – 0 points; More than $100 made/spent – 1 point; More than $50 made/spent – 2 points; $50 or less made/spent – 3 points; Lobbyists qualify and must register no matter how much money made/spent – 4 points	2. How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition? (papers/text/CPI_2007__hired_guns_methodology.txt:44)	5-level ordinal threshold scale; 'no threshold' or 'any compensation triggers registration' = full points.				
core_hg	hired_guns_2007	Q3	Is a lobbyist required to ﬁle a registration form?	Individual Registration	boolean	No – 0 points Yes – 3 points	3. Is a lobbyist required to ﬁle a registration form? No – 0 points Yes – 3 points (papers/text/CPI_2007__hired_guns_methodology.txt:64)	Refers to individual lobbyist registration, not employer/group.				
core_hg	hired_guns_2007	Q4	How many days can lobbying take place before registration is required?	Individual Registration	ordinal	16 or more days – 0 points; 11 to 15 days – 1 point; 6 to 10 days – 2 points; 1 to 5 days – 3 points; 0 days – 4 points	4. How many days can lobbying take place before registration is required? (papers/text/CPI_2007__hired_guns_methodology.txt:68)	5-level ordinal grace-period scale.				
core_hg	hired_guns_2007	Q5	Is subject matter or bill number to be addressed by a lobbyist required on registration forms?	Individual Registration	categorical	No bill number/subject matter required – 0 points; Subject matter only required – 1 point; Bill number required – 3 points	5. Is subject matter or bill number to be addressed by a lobbyist required on registration forms? (papers/text/CPI_2007__hired_guns_methodology.txt:75)	3-level categorical (none/subject only/bill number).				
core_hg	hired_guns_2007	Q6	How often is registration by a lobbyist required?	Individual Registration	ordinal	Once only – 0 points; Every two years – 1 point; Annually or more often – 2 points	6. How often is registration by a lobbyist required? Once only – 0 points Every two years – 1 point Annually or more often – 2 points (papers/text/CPI_2007__hired_guns_methodology.txt:84)	Includes regular supplements/refilings.				
core_hg	hired_guns_2007	Q7	Within how many days must a lobbyist notify the oversight agency of changes in registration?	Individual Registration	ordinal	16 – or more days – 0 points; 11 – 15 days – 1 point; 6 – 10 days – 2 points; 1 – 5 days – 3 points; 0 days – 4 points	7. Within how many days must a lobbyist notify the oversight agency of changes in registration? (papers/text/CPI_2007__hired_guns_methodology.txt:94)	Specifically for changes in registration info; not regular spending reports.				
core_hg	hired_guns_2007	Q8	Is a lobbyist required to submit a photograph with registration?	Individual Registration	boolean	No – 0 points Yes – 1 point	8. Is a lobbyist required to submit a photograph with registration? No – 0 points Yes – 1 point (papers/text/CPI_2007__hired_guns_methodology.txt:101)	Pertains to identification badges.				
core_hg	hired_guns_2007	Q9	Is a lobbyist required to identify by name each employer on the registration form?	Individual Registration	boolean	No – 0 points Yes – 1point	9. Is a lobbyist required to identify by name each employer on the registration form? No – 0 points Yes – 1point (papers/text/CPI_2007__hired_guns_methodology.txt:108)	Either single-form-multi-employer or per-employer-registration counts as full points.				
core_hg	hired_guns_2007	Q10	Is a lobbyist required to include on the registration form any additional information about the type of lobbying work he or she does (i.e., compensated or non-compensated/contract or salaried)?	Individual Registration	boolean	No – 0 points Yes – 1 point	10. Is a lobbyist required to include on the registration form any additional information about the type of lobbying work he or she does (i.e., compensated or non-compensated/contract or salaried)? (papers/text/CPI_2007__hired_guns_methodology.txt:120)	Full points if info appears on spending reports rather than registration; CPI relaxes the location.				
core_hg	hired_guns_2007	Q11	Is a lobbyist required to ﬁle a spending report?	Individual Spending Disclosure	boolean	No – 0 points Yes – 3 points	11. Is a lobbyist required to ﬁle a spending report? No – 0 points Yes – 3 points (papers/text/CPI_2007__hired_guns_methodology.txt:131)	Gateway item for the entire spending-disclosure category; CPI ties this to the statute's reporting section.				
core_hg	hired_guns_2007	Q12	How often during each two-year cycle is a lobbyist required to report spending?	Individual Spending Disclosure	ordinal	0 – 3 ﬁlings – 0 points; 4 – 6 ﬁlings – 1 point; 7 – 9 ﬁlings – 2 points; 10 – or more ﬁlings – 3 points	12. How often during each two-year cycle is a lobbyist required to report spending? (papers/text/CPI_2007__hired_guns_methodology.txt:136)	Two-year cycle accommodates biennial legislatures; CPI gives a worked example for a 4-month-session state.				
core_hg	hired_guns_2007	Q13	Is compensation/salary required to be reported by a lobbyist on spending reports?	Individual Spending Disclosure	boolean	No – 0 points Yes – 2 points	13. Is compensation/salary required to be reported by a lobbyist on spending reports? No – 0 points Yes – 2 points (papers/text/CPI_2007__hired_guns_methodology.txt:151)	Full points if information is on registration form instead.				
core_hg	hired_guns_2007	Q14	Are summaries (totals) of spending classiﬁed by category types (i.e., gifts, entertainment, postage, etc.)?	Individual Spending Disclosure	boolean	No – 0 points Yes – 2 points	14. Are summaries (totals) of spending classiﬁed by category types (i.e., gifts, entertainment, postage, etc.)? No – 0 points Yes – 2 points (papers/text/CPI_2007__hired_guns_methodology.txt:158)	Single aggregate total without category breakdown = 0 points.				
core_hg	hired_guns_2007	Q15	What spending must be itemized?	Individual Spending Disclosure	ordinal	No spending required to be itemized – 0 points; Itemization threshold: More than $100 – 1 point; Itemization threshold: More than $25 – 2 points; Itemization threshold: $25 and below – 3 points; All spending required to be itemized – 4 points	15. What spending must be itemized? (papers/text/CPI_2007__hired_guns_methodology.txt:165)	5-level ordinal threshold; 'itemized' = individual listing of single expenditures (CPI definition).				
core_hg	hired_guns_2007	Q16	Is the lobbyist employer/principal on whose behalf the itemized expenditure was made required to be identiﬁed?	Individual Spending Disclosure	boolean	No – 0 points Yes – 1 point	16. Is the lobbyist employer/principal on whose behalf the itemized expenditure was made required to be identiﬁed? No – 0 points Yes – 1 point (papers/text/CPI_2007__hired_guns_methodology.txt:180)	"Conditional on Q15: ""If spending is not required to be itemized, a state received no points."""				
core_hg	hired_guns_2007	Q17	Is the recipient of the itemized expenditure required to be identiﬁed?	Individual Spending Disclosure	boolean	No – 0 points Yes – 1 point	17. Is the recipient of the itemized expenditure required to be identiﬁed? No – 0 points Yes – 1 point (papers/text/CPI_2007__hired_guns_methodology.txt:189)	Conditional on Q15: zero if itemization not required. Recipient = legislator/staff/family.				
core_hg	hired_guns_2007	Q18	Is the date of the itemized expenditure required to be reported?	Individual Spending Disclosure	boolean	No – 0 points Yes – 1 point	18. Is the date of the itemized expenditure required to be reported? No – 0 points Yes – 1 point (papers/text/CPI_2007__hired_guns_methodology.txt:196)	Conditional on Q15: zero if itemization not required.				
core_hg	hired_guns_2007	Q19	Is a description of the itemized expenditure required to be reported?	Individual Spending Disclosure	boolean	No – 0 points Yes – 1 point	19. Is a description of the itemized expenditure required to be reported? No – 0 points Yes – 1 point (papers/text/CPI_2007__hired_guns_methodology.txt:202)	Conditional on Q15: zero if itemization not required. Description or category (e.g., food/postage) qualifies.				
core_hg	hired_guns_2007	Q20	Is subject matter or bill number to be addressed by a lobbyist required on spending reports?	Individual Spending Disclosure	categorical	No bill number/subject matter required – 0 points; Subject matter only required – 1 point; Bill number required – 3 points	20. Is subject matter or bill number to be addressed by a lobbyist required on spending reports? (papers/text/CPI_2007__hired_guns_methodology.txt:213)	Mirrors Q5 but on spending reports; same 3-level categorical.				
core_hg	hired_guns_2007	Q21	Is spending on household members of public ofﬁcials by a lobbyist required to be reported?	Individual Spending Disclosure	boolean	No – 0 points Yes – 1 point	21. Is spending on household members of public ofﬁcials by a lobbyist required to be reported? No – 0 points Yes – 1 point (papers/text/CPI_2007__hired_guns_methodology.txt:222)	Implicit scope: depends on state's definition of household member.				
core_hg	hired_guns_2007	Q22	Is a lobbyist required to disclose direct business associations with public ofﬁcials, candidates or members of their households?	Individual Spending Disclosure	boolean	No – 0 points Yes – 1 point	22. Is a lobbyist required to disclose direct business associations with public ofﬁcials, candidates or members of their households? No – 0 points Yes – 1 point (papers/text/CPI_2007__hired_guns_methodology.txt:227)	State-specific definitions of business association; implicit scope variation.				
core_hg	hired_guns_2007	Q23	What is the statutory provision for a lobbyist giving and reporting gifts?	Individual Spending Disclosure	ordinal	Gifts are not reported – 0 points; Gifts are reported – 1 point; Gifts are limited and reported – 2 points; Gifts are prohibited – 3 points	23. What is the statutory provision for a lobbyist giving and reporting gifts? (papers/text/CPI_2007__hired_guns_methodology.txt:234)	4-level ordinal; gift prohibition with significant exceptions does NOT qualify for full points (CPI judgment call).				
core_hg	hired_guns_2007	Q25	Is a lobbyist who has done no spending during a ﬁling period required to make a report of no activity?	Individual Spending Disclosure	boolean	No – 0 points Yes – 1 point	25. Is a lobbyist who has done no spending during a ﬁling period required to make a report of no activity? No – 0 points Yes – 1 point (papers/text/CPI_2007__hired_guns_methodology.txt:265)	'No activity' / null filing requirement.				
core_hg	hired_guns_2007	Q26	Is an employer or principal of a lobbyist required to ﬁle a spending report?	Employer Spending Disclosure	boolean	No – 0 point Yes – 3 points	26. Is an employer or principal of a lobbyist required to ﬁle a spending report? No – 0 point Yes – 3 points (papers/text/CPI_2007__hired_guns_methodology.txt:275)	Employer/principal/client of lobbyist.				
core_hg	hired_guns_2007	Q27	Is compensation/salary required to be reported on employer/principal spending reports?	Employer Spending Disclosure	boolean	No – 0 points Yes – 2 points	27. Is compensation/salary required to be reported on employer/principal spending reports? No – 0 points Yes – 2 points (papers/text/CPI_2007__hired_guns_methodology.txt:281)	Mirrors Q13 from the employer side.				
core_hg	hired_guns_2007	Q28	Does the oversight agency provide lobbyists/employers with online registration?	Electronic Filing	boolean	No – 0 points Yes – 1 point	28. Does the oversight agency provide lobbyists/employers with online registration? No – 0 points Yes – 1 point (papers/text/CPI_2007__hired_guns_methodology.txt:287)	CPI links this to ensuring electronic format and searchable database availability.				
core_hg	hired_guns_2007	Q29	Does the oversight agency provide lobbyists/employers with online spending reporting?	Electronic Filing	boolean	No – 0 points Yes – 1 point	29. Does the oversight agency provide lobbyists/employers with online spending reporting? No – 0 points Yes – 1 point (papers/text/CPI_2007__hired_guns_methodology.txt:295)	Same rationale as Q28 applied to spending reports.				
core_hg	hired_guns_2007	Q30	Does the oversight agency provide training about how to ﬁle registrations/spending reports electronically?	Electronic Filing	boolean	No – 0 points Yes – 1 point	30. Does the oversight agency provide training about how to ﬁle registrations/spending reports electronically? No – 0 points Yes – 1 point (papers/text/CPI_2007__hired_guns_methodology.txt:307)	'Informational packet or any other conveyance of instruction' counts.				
core_hg	hired_guns_2007	Q31	Location/format of registrations or active lobbyist directory	Public Access	ordinal	Photocopies from ofﬁce only – 1 point; PDF or image ﬁles on the Web – 2 points; Searchable database on the Web – 3 points; Downloadable ﬁles/database – 4 points	31. Location/format of registrations or active lobbyist directory: Photocopies from ofﬁce only – 1 point PDF or image ﬁles on the Web – 2 points Searchable database on the Web – 3 points Downloadable ﬁles/database – 4 points (papers/text/CPI_2007__hired_guns_methodology.txt:314)	Highest-applies rule (CPI: choose item with highest point value that applies). 4-level ordinal access ladder. CPI defines 'searchable database' explicitly.				
core_hg	hired_guns_2007	Q32	Location/format of spending reports	Public Access	ordinal	Photocopies from ofﬁce only – 1 point; PDF or image ﬁles on the Web – 2 points; Searchable database on the Web – 3 points; Downloadable ﬁles/database – 4 points	32. Location/format of spending reports: Photocopies from ofﬁce only – 1 point PDF or image ﬁles on the Web – 2 points Searchable database on the Web – 3 points Downloadable ﬁles/database – 4 points (papers/text/CPI_2007__hired_guns_methodology.txt:336)	'Highest-applies' rule. Mirrors Q31 for spending reports. CPI defines 'searchable database' interface (summary totals or full itemization listing).				
core_hg	hired_guns_2007	Q33	Cost of copies	Public Access	ordinal	25 cents or more per page – 0 points; Less than 25 cents per page – 1 point	33. Cost of copies: 25 cents or more per page – 0 points Less than 25 cents per page – 1 point (papers/text/CPI_2007__hired_guns_methodology.txt:354)	Tiered fee schedules: take rate appropriate for the first price quantity. Differential in/out-of-state pricing: use in-state price.				
core_hg	hired_guns_2007	Q34	Are sample registration forms/spending reports available the Web?	Public Access	boolean	No – 0 points Yes – 1 point	34. Are sample registration forms/spending reports available the Web? No – 0 points Yes – 1 point (papers/text/CPI_2007__hired_guns_methodology.txt:369)	Note typo in CPI source ('available the Web' missing 'on'). Captured verbatim.				
core_hg	hired_guns_2007	Q35	Does the state agency provide an overall lobbying spending total by year?	Public Access	boolean	No – 0 points Yes – 2 points	35. Does the state agency provide an overall lobbying spending total by year? No – 0 points Yes – 2 points (papers/text/CPI_2007__hired_guns_methodology.txt:374)	2002 reference year for the data; provision via Web OR upon request both qualify.				
core_hg	hired_guns_2007	Q36	Does the state agency provide an overall lobbying spending total by spending-report deadlines?	Public Access	boolean	No – 0 points Yes – 2 points	36. Does the state agency provide an overall lobbying spending total by spending-report deadlines? No – 0 points Yes – 2 points (papers/text/CPI_2007__hired_guns_methodology.txt:380)	2002 data; via Web or upon request.				
core_hg	hired_guns_2007	Q37	Does the state agency provide an overall lobbying spending total by industries lobbyists represent?	Public Access	boolean	No – 0 points Yes – 2 points	37. Does the state agency provide an overall lobbying spending total by industries lobbyists represent? No – 0 points Yes – 2 points (papers/text/CPI_2007__hired_guns_methodology.txt:386)	"CPI flags: ""Lobby spending is not commonly organized in this fashion."" Web or upon request."				
core_hg	hired_guns_2007	Q38	How often are lobby lists updated?	Public Access	ordinal	Semi-annually or less often – 1 point; Monthly – 2 points; Weekly – 3 points; Daily – 4 points	38. How often are lobby lists updated? Semi-annually or less often – 1 point Monthly – 2 points Weekly – 3 points Daily – 4 points (papers/text/CPI_2007__hired_guns_methodology.txt:398)	4-level ordinal frequency scale. No 0-point option visible.				
core_hg	hired_guns_2007	Q39	Does the state have statutory auditing authority?	Enforcement	boolean	No – 0 points Yes – 2 points	39. Does the state have statutory auditing authority? No – 0 points Yes – 2 points (papers/text/CPI_2007__hired_guns_methodology.txt:404)	Authority only — does NOT measure use. Authority can rest with any state agency. Includes ability to request outside documents.				
core_hg	hired_guns_2007	Q40	Does the state agency conduct mandatory reviews or audits?	Enforcement	boolean	No – 0 points Yes – 2 points	40. Does the state agency conduct mandatory reviews or audits? No – 0 points Yes – 2 points (papers/text/CPI_2007__hired_guns_methodology.txt:413)	Pairs with Q39 (action vs. authority). Random or universal reviews qualify; complaint-driven does not.				
core_hg	hired_guns_2007	Q41	Is there a statutory penalty for late ﬁling of lobby registration form?	Enforcement	boolean	No – 0 points Yes – 1 point	41. Is there a statutory penalty for late ﬁling of lobby registration form? No – 0 points Yes – 1 point (papers/text/CPI_2007__hired_guns_methodology.txt:426)	Typically per-day fines.				
core_hg	hired_guns_2007	Q42	Is there a statutory penalty for late ﬁling of a lobby spending report?	Enforcement	boolean	No – 0 points Yes – 1 point	42. Is there a statutory penalty for late ﬁling of a lobby spending report? No – 0 points Yes – 1 point (papers/text/CPI_2007__hired_guns_methodology.txt:433)	Typically per-day fines.				
core_hg	hired_guns_2007	Q43	When was a penalty for late ﬁling of a lobby spending report last levied?	Enforcement	ordinal	More than 5 years – 0 points; 4 to 5 years – 1 point; 2 to 3 years – 2 points; 0 to 1 year – 3 points	43. When was a penalty for late ﬁling of a lobby spending report last levied? More than 5 years – 0 points 4 to 5 years – 1 point 2 to 3 years – 2 points 0 to 1 year – 3 points (papers/text/CPI_2007__hired_guns_methodology.txt:440)	Data source: state agency representative interview. Operational definition relies on official self-report — fallback source flag.				
core_hg	hired_guns_2007	Q44	Is there a statutory penalty for incomplete ﬁling of a lobby registration form?	Enforcement	boolean	No – 0 points Yes – 1 point	44. Is there a statutory penalty for incomplete ﬁling of a lobby registration form? No – 0 points Yes – 1 point (papers/text/CPI_2007__hired_guns_methodology.txt:447)	Pairs Q41 (late) with Q44 (incomplete); 'incomplete' = missing pages/signatures/totals.				
core_hg	hired_guns_2007	Q45	Is there a statutory penalty for incomplete ﬁling of a lobby spending report?	Enforcement	boolean	No – 0 points Yes – 1 point	45. Is there a statutory penalty for incomplete ﬁling of a lobby spending report? No – 0 points Yes – 1 point (papers/text/CPI_2007__hired_guns_methodology.txt:460)	Pairs Q42 (late) with Q45 (incomplete) for spending reports.				
core_hg	hired_guns_2007	Q46	When was a penalty for incomplete ﬁling of a lobby spending report last levied?	Enforcement	ordinal	More than 5 years – 0 points; 4 – 5 years – 1 point; 2 – 3 years – 2 points; 0 – 1 year/agency does not accept incomplete ﬁlings – 3 points	46. When was a penalty for incomplete ﬁling of a lobby spending report last levied? (papers/text/CPI_2007__hired_guns_methodology.txt:469)	Data source: state agency representative interview. 'Agency does not accept incomplete filings' = 3 points (special bucket merged into top tier). Fallback source flag.				
core_hg	hired_guns_2007	Q47	Does the state publish a list of delinquent ﬁlers either on the Web or in a printed document?	Enforcement	boolean	No – 0 points Yes – 1 point	47. Does the state publish a list of delinquent ﬁlers either on the Web or in a printed document? No – 0 points Yes – 1 point (papers/text/CPI_2007__hired_guns_methodology.txt:478)	Web, newspaper, or other publication all qualify.				
core_hg	hired_guns_2007	Q48	"Is there a ""cooling off"" period required before legislators can register as lobbyists?"	Revolving Door Provision	boolean	No – 0 points Yes – 2 points	"48. Is there a cooling off"" period required before legislators can register as lobbyists? No – 0 points Yes – 2 points"" (papers/text/CPI_2007__hired_guns_methodology.txt:490)"	Boolean only; CPI does not score the LENGTH of the cooling-off period. Scope: same-state legislators-to-lobbyists only.				
core_focal	focal_2024	scope.1	The following types of lobbyists are included in the register: professional lobbyists/consultants, in-house company lobbyists, in-house organisation lobbyists, professional consultancies, law firms, think tanks, research institutions, public entities, government agencies/employees	Scope: The scope of what is included and excluded from the register	checklist	"Not specified (FOCAL is conceptual/unweighted; framework says ""we have not added weights to our indicators"")"	The following types of lobbyists are included in the register: professional lobbyists/consultants, in-house company lobbyists, in-house organisation lobbyists, professional consultancies, law firms (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:951)	Single Table 3 row but enumerates 9 lobbyist types; FOCAL treats it as one indicator (Table 3 row count totals 50). Could be atomized into 9 sub-items.				
core_focal	focal_2024	scope.2	There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration	Scope: The scope of what is included and excluded from the register	threshold	"Not specified; paper itself flags this as subjective: ""what is a 'low' financial or time threshold to qualify/exempt lobbyists from registration? This is a question we will consider in the next stage"""	There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:954)	"Paper acknowledges subjectivity; ""low"" is undefined in this conceptual iteration."				
core_focal	focal_2024	scope.3	The following are included as targets of lobbying: legislative branches, executive branch officials, Ministers, Deputy Ministers, members of parliament, Director-Generals and senior officials, staff, administrative branch/bureaucracy	Scope: The scope of what is included and excluded from the register	checklist	Not specified	The following are included as targets of lobbying: legislative branches, executive branch officials, Ministers, Deputy Ministers, members of parliament, Director-Generals and senior officials, staff, administrative branch/bureaucracy (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:955)	"Single row enumerates 8 target types; treated as one indicator. Paper notes ""some of these may be context dependent, for instance the target of lobbying may vary depending on the form of government (eg, a Westminster vs Presidential system)""."				
core_focal	focal_2024	scope.4	A wide breadth of activities are included, eg, oral, written, electronic, virtual communications; organising meetings for others; events; phone calls and emails	Scope: The scope of what is included and excluded from the register	checklist	Not specified	A wide breadth of activities are included, eg, oral, written, electronic, virtual communications; organising meetings for others; events; phone calls and emails (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:957)	eg indicates examples not exhaustive list.				
core_focal	focal_2024	timeliness.1	Changes (eg, registering/deregistering lobbyists, new clients) are updated close to real time (eg, daily)	Timeliness: The frequency of lobbying disclosures	frequency	"Not specified beyond example ""close to real time (eg, daily)""; paper cites International Standards: ""minimum quarterly, ideally close to real-time"""	Changes (eg, registering/deregistering lobbyists, new clients) are updated close to real time (eg, daily) (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:961)	Paper situates timeliness as assessable via legislation, not just register.				
core_focal	focal_2024	timeliness.2	Lobbying activities are disclosed close to real time (eg, daily)	Timeliness: The frequency of lobbying disclosures	frequency	"Not specified beyond ""close to real time (eg, daily)"""	Lobbying activities are disclosed close to real time (eg, daily) (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:962)					
core_focal	focal_2024	timeliness.3	Ministerial diaries are disclosed monthly (or more frequently)	Timeliness: The frequency of lobbying disclosures	frequency	monthly (or more frequently)	Ministerial diaries are disclosed monthly (or more frequently) (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:963)					
core_focal	focal_2024	openness.1	Lobbyist register is online	Openness: How easy it is to find and use information in the register	boolean	Not specified	Lobbyist register is online (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:967)					
core_focal	focal_2024	openness.2	Diaries available online (eg, lobbyists, ministers, ministerial staff)	Openness: How easy it is to find and use information in the register	boolean	Not specified	Diaries available online (eg, lobbyists, ministers, ministerial staff) (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:968)					
core_focal	focal_2024	openness.3	Available without registration, free to access, open license (eg, no limits to reuse), non-proprietary format (eg, CSV, not Excel), machine readable	Openness: How easy it is to find and use information in the register	checklist	Not specified	Available without registration, free to access, open license (eg, no limits to reuse), non-proprietary format (eg, CSV, not Excel), machine readable (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:969)	Single row bundles 5 sub-criteria (no registration / free / open license / non-proprietary / machine readable).				
core_focal	focal_2024	openness.4	Downloadable (eg, as files, database)	Openness: How easy it is to find and use information in the register	boolean	Not specified	Downloadable (eg, as files, database) (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:971)					
core_focal	focal_2024	openness.5	Searchable, simultaneous sorting with multiple criteria	Openness: How easy it is to find and use information in the register	boolean	Not specified	Searchable, simultaneous sorting with multiple criteria (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:972)					
core_focal	focal_2024	openness.6	Unique identifiers (eg, for lobbyists, individuals, organisations)	Openness: How easy it is to find and use information in the register	boolean	Not specified	Unique identifiers (eg, for lobbyists, individuals, organisations) (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:973)					
core_focal	focal_2024	openness.7	Linked or interconnected data (to other datasets, eg, campaign financing)	Openness: How easy it is to find and use information in the register	boolean	Not specified	Linked or interconnected data (to other datasets, eg, campaign financing) (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:974)					
core_focal	focal_2024	openness.8	Historical data in lobbyist register is archived and published; downloadable	Openness: How easy it is to find and use information in the register	boolean	Not specified	Historical data in lobbyist register is archived and published; downloadable (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:975)					
core_focal	focal_2024	openness.9	Changes or updates documented with a flagging system	Openness: How easy it is to find and use information in the register	boolean	Not specified	Changes or updates documented with a flagging system (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:976)					
core_focal	focal_2024	descriptors.1	Full names of lobbyists/organisations, (not abbreviations or ambiguous names)	Descriptors: Descriptions and identifying elements of the individuals and organisations involved in lobbying	field	Not specified	Full names of lobbyists/organisations, (not abbreviations or ambiguous names) (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:981)					
core_focal	focal_2024	descriptors.2	Contact details provided (eg, Address, telephone and/or website)	Descriptors: Descriptions and identifying elements of the individuals and organisations involved in lobbying	field	Not specified	Contact details provided (eg, Address, telephone and/or website) (papers/text/Lacy_Nichols_2024__focal_scoping_review.txt:982)					
