compendium_role	paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes	extension_rationale	best_core_match_paper	best_core_match_id	best_core_match_sim
ext_pri_2010_accessibility	pri_2010	accessibility.Q7a	Can users specify data searches on the website by Principal (city; authority hiring; employer; corporation; etc.).	Sorting data	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q7. Q7 = 15 sub-criteria a–o; original PRI scoring weighted each at 1 point (sub-component max 15).	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_accessibility	pri_2010	accessibility.Q7b	Can users specify data searches on the website by Principal's location (specific address; city).	Sorting data	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q7.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_accessibility	pri_2010	accessibility.Q7c	Can users specify data searches on the website by Lobbyist name.	Sorting data	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q7.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_accessibility	pri_2010	accessibility.Q7d	Can users specify data searches on the website by Lobbyist location (specific address; city).	Sorting data	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q7.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_accessibility	pri_2010	accessibility.Q7e	Can users specify data searches on the website by Specific date.	Sorting data	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q7.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_accessibility	pri_2010	accessibility.Q7f	Can users specify data searches on the website by Specific time period (normally quarter but it depends on how often the law requires data to be disclosed).	Sorting data	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q7.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_accessibility	pri_2010	accessibility.Q7g	Can users specify data searches on the website by Total expenditures.	Sorting data	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q7.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_accessibility	pri_2010	accessibility.Q7h	Can users specify data searches on the website by Compensation spending (portion of total expenditures for which the lobbyist is paid back).	Sorting data	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q7.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_accessibility	pri_2010	accessibility.Q7i	Can users specify data searches on the website by Miscellaneous expenses (non-compensation).	Sorting data	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q7.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_accessibility	pri_2010	accessibility.Q7j	Can users specify data searches on the website by Sources of funding (emphasis on public/taxpayer-funded).	Sorting data	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q7.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_accessibility	pri_2010	accessibility.Q7k	Can users specify data searches on the website by Subject of lobbying (or item of legislation).	Sorting data	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q7.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_accessibility	pri_2010	accessibility.Q7l	Can users specify data searches on the website by Designated entities assigned to lobbyist (group/congressman the lobbyist is working for).	Sorting data	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q7.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_accessibility	pri_2010	accessibility.Q7m	Can users specify data searches on the website by Legal status of the principal (government; non-profit; for-profit; etc.).	Sorting data	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q7.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_accessibility	pri_2010	accessibility.Q7n	Can users specify data searches on the website by Sector (transport; energy; banking; education; social services; etc.).	Sorting data	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q7.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_accessibility	pri_2010	accessibility.Q7o	Can users specify data searches on the website by Sub-sector (K–12; secondary; vocational; etc.).	Sorting data	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q7.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_accessibility	pri_2010	accessibility.Q8	Users can simultaneously sort lobbying data by multiple criteria.	Simultaneous sorting	ordinal_0_to_15			Source: docs/historical/pri-2026-rescore/results/pri_2010_accessibility_rubric.csv. PRI 2010 §IV Q8. Original PRI raw 0–15 then divided by 15 to a 0–1 sub-score; the 0–15 rubric is not specified in the paper — flag for Phase 3.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.A1	Lobbyists.	A. Who is required to register	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.A. Per paper: all 50 states require lobbyists to register.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.A2	Volunteer lobbyists.	A. Who is required to register	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.A. Per paper: 17 states required as of 2010.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.A3	Principals who employ a lobbyist.	A. Who is required to register	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.A. Per paper: 24 states required as of 2010.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.A4	Lobbying firms.	A. Who is required to register	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.A. Per paper: 17 states required as of 2010.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.A5	Governor's office.	A. Who is required to register	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.A.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.A6	Executive branch agencies.	A. Who is required to register	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.A.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.A7	Legislative branch.	A. Who is required to register	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.A.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.A8	Independent agencies.	A. Who is required to register	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.A.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.A9	Local governments.	A. Who is required to register	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.A.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.A10	Government agencies who lobby other agencies.	A. Who is required to register	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.A.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.A11	Public entities, other than government agencies.	A. Who is required to register	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.A.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.B1	Is there an exemption for government agencies and/or public officials acting within their official capacity?	B. Government exemptions	binary			"Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.B. Footnote 85 in source. Note: ""exemption exists"" reduces transparency; whether this counts positively or negatively in the score is not stated explicitly — flag for Phase 3."	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.B2	Are government agencies relieved and/or exempted (partially) from the regulations imposed on non-government organizations and individuals?	B. Government exemptions	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.B. Footnote 86 in source.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.B3	Are government agencies subject to the same disclosure requirements as lobbyists?	B. Government exemptions	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.B.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.B4	Are government agencies subject to the same disclosure requirements as principals?	B. Government exemptions	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.B.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.C0	"Does the law include a definition of ""public entity""?"	C. Definition of public entity	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.C. Gate question — Table 5 reports C as 0/1 only, suggesting the published score reflected only this question. Sub-criteria C1–C3 below are described in the paper but their scoring contribution is not specified — flag for Phase 3.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.C1	Definition relies on Ownership.	C. Definition of public entity	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.C. Sub-criterion of C0; only meaningful if C0=1.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.C2	Definition relies on Structure or composition of revenue.	C. Definition of public entity	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.C. Sub-criterion of C0; only meaningful if C0=1.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.C3	Definition relies on Public charter or special government protection.	C. Definition of public entity	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.C. Sub-criterion of C0; only meaningful if C0=1.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.D0	Does the law include a materiality test (ability to exempt) for coverage in disclosure regulations?	D. Materiality test	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.D. Gate question — Table 5 reports D as 0/1 only.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.D1_present	Financial threshold exists: if expenses are less than some dollar threshold the entity is exempted from filing disclosure.	D. Materiality test	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.D. Sub-criterion of D0.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.D1_value	Dollar threshold value (USD) for financial-threshold exemption.	D. Materiality test	numeric_usd_or_null			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.D. Capture raw value; null if no threshold.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.D2_present	Time threshold exists: if amount of time devoted to lobbying is less than a threshold percentage of an individual's compensated time the individual or entity is exempted from filing disclosure.	D. Materiality test	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.D. Sub-criterion of D0.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.D2_value	Percentage threshold value for time-threshold exemption.	D. Materiality test	numeric_percent_or_null			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.D. Capture raw value; null if no threshold.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E1a	Are principals required to disclose?	E1. Principal Reports	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E1. Gate question for the rest of E1.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E1b	Are principals required to disclose their address and phone number?	E1. Principal Reports	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E1.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E1c	Are principals required to disclose the names of all the lobbyists representing them?	E1. Principal Reports	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E1.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E1d	Are principals required to disclose the address and phone number of contracted lobbyists?	E1. Principal Reports	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E1.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E1e	Are principals required to disclose the nature of the business (public or private)?	E1. Principal Reports	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E1.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E1f_i	Required component of disclosure report: Direct lobbying costs (compensation).	E1. Principal Reports	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E1.f.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E1f_ii	Required component of disclosure report: Indirect lobbying costs (non-compensation).	E1. Principal Reports	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E1.f.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E1f_iii	Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.	E1. Principal Reports	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E1.f.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E1f_iv	Is the information disclosed in an itemized format (as opposed to an aggregated or lump-sum amount)?	E1. Principal Reports	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E1.f.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E1g_i	Are principals required to disclose information on the issue lobbied by the general issues lobbied?	E1. Principal Reports	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E1.g.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E1g_ii	Are principals required to disclose information on the issue lobbied by the specific bill number or legislation ID?	E1. Principal Reports	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E1.g.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E1h_i	Reporting frequency option: Monthly.	E1. Principal Reports	binary			"Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E1.h. Capture each frequency option as a separate item; downstream scoring per PRI footnote 89 awards ""1 point for reporting … less than three times a year"" (paper wording is ambiguous) — defer scoring rule to Phase 3."	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E1h_ii	Reporting frequency option: Quarterly.	E1. Principal Reports	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E1.h.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E1h_iii	Reporting frequency option: Tri-annually (linked with legislative calendar).	E1. Principal Reports	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E1.h.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E1h_iv	Reporting frequency option: Semi-annually.	E1. Principal Reports	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E1.h.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E1h_v	Reporting frequency option: Annually.	E1. Principal Reports	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E1.h.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E1h_vi	Reporting frequency option: Other (free-text).	E1. Principal Reports	text			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E1.h.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E1i	Are principals required to disclose contacts?	E1. Principal Reports	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E1.i. Footnote 90 in source.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E1j	Are principals required to disclose major financial contributors?	E1. Principal Reports	binary			"Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E1.j. Per paper §III.E intro: scored independently of the rest of E (this is ""question J"" referenced in the text)."	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E2a	Are lobbyists required to disclose?	E2. Lobbyist Disclosure	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E2. Gate question for the rest of E2.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E2b	Are lobbyists required to disclose their address and phone number?	E2. Lobbyist Disclosure	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E2.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E2c	Are lobbyists required to disclose the names of all the principals represented?	E2. Lobbyist Disclosure	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E2.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E2d	Are lobbyists required to disclose the address and phone number of the principals represented?	E2. Lobbyist Disclosure	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E2.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E2e	Are lobbyists required to disclose the nature of the principal's business (public or private)?	E2. Lobbyist Disclosure	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E2.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E2f_i	Required component of disclosure report: Direct lobbying costs (compensation).	E2. Lobbyist Disclosure	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E2.f.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E2f_ii	Required component of disclosure report: Indirect lobbying costs (non-compensation).	E2. Lobbyist Disclosure	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E2.f.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E2f_iii	Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.	E2. Lobbyist Disclosure	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E2.f.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E2f_iv	Is the information disclosed in an itemized format (as opposed to an aggregated or lump-sum amount)?	E2. Lobbyist Disclosure	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E2.f.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E2g_i	Are lobbyists required to disclose information on the issue lobbied by the general issues lobbied?	E2. Lobbyist Disclosure	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E2.g.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E2g_ii	Are lobbyists required to disclose information on the issue lobbied by the specific bill number or legislation ID?	E2. Lobbyist Disclosure	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E2.g.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E2h_i	Reporting frequency option: Monthly.	E2. Lobbyist Disclosure	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E2.h.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E2h_ii	Reporting frequency option: Quarterly.	E2. Lobbyist Disclosure	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E2.h.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E2h_iii	Reporting frequency option: Tri-annually (linked with legislative calendar).	E2. Lobbyist Disclosure	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E2.h.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E2h_iv	Reporting frequency option: Semi-annually.	E2. Lobbyist Disclosure	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E2.h.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E2h_v	Reporting frequency option: Annually.	E2. Lobbyist Disclosure	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E2.h.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E2h_vi	Reporting frequency option: Other (free-text).	E2. Lobbyist Disclosure	text			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E2.h.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
ext_pri_2010_disclosure	pri_2010	disclosure.E2i	Are lobbyists required to disclose contacts?	E2. Lobbyist Disclosure	binary			Source: docs/historical/pri-2026-rescore/results/pri_2010_disclosure_law_rubric.csv. PRI 2010 §III.E2.i. Footnote 91 in source.	PRI 2010 included as coverage extension per user clearance 2026-05-06 — non-default, NOT a row-frame contributor			
