paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
cpi_2015	IND_196	In law, the definition of lobbyist recognizes executive branch lobbyists as well as legislative lobbyists.	C11 / 11.1 / Is there a clear definition of a lobbyist?	de_jure	"A YES score is earned if in law, the definition of lobbying includes communications with state legislators and executive officials, including the governor. 

A NO score is earned if no such law exists or it exists, but the definition does not recognize communications with executive and legislative officials."	In law, the definition of lobbyist recognizes executive branch lobbyists as well as legislative lobbyists.	"CPI 2015 SII Category 11 (Lobbying Disclosure), sub-category 11.1. Source: papers/CPI_2015__sii_criteria.xlsx sheet="" Lobbying Disclosure""."
cpi_2015	IND_197	In law, anyone paid to carry out lobbying activity is defined as a lobbyist and must register as such.	C11 / 11.1 / Is there a clear definition of a lobbyist?	de_jure	"A YES score is earned if anyone paid any amount to carry out lobbying activity is defined as a lobbyist and must register as such.

A MODERATE score is earned if only persons being paid more than a certain threshold are defined as a lobbyist.

A NO score is earned if no such law exists."	In law, anyone paid to carry out lobbying activity is defined as a lobbyist and must register as such.	"CPI 2015 SII Category 11 (Lobbying Disclosure), sub-category 11.1. Source: papers/CPI_2015__sii_criteria.xlsx sheet="" Lobbying Disclosure""."
cpi_2015	IND_198	In practice, all who are paid to lobby register as lobbyists.	C11 / 11.2 / Are lobbyist  registration processes effective? 	de_facto	"A 100 score is earned if all who are paid to lobby register as such. 

A 50 score is earned if most but not all who are paid to lobby register as such.

A 0 score is earned if those who are paid to lobby rarely or never register."	In practice, all who are paid to lobby register as lobbyists.	"CPI 2015 SII Category 11 (Lobbying Disclosure), sub-category 11.2. Source: papers/CPI_2015__sii_criteria.xlsx sheet="" Lobbying Disclosure""."
cpi_2015	IND_199	In law, lobbyists are required to file a registration form on an annual basis.	C11 / 11.3 / Are there detailed registration requirements? 	de_jure	"A YES score is earned if lobbyists must fill out and file a registration form with the state government at least once a year. 

A MODERATE score is earned where lobbyists must fill out and file a registration form, but with less frequency. 

A NO score is earned if no such law exists."	In law, lobbyists are required to file a registration form on an annual basis.	"CPI 2015 SII Category 11 (Lobbying Disclosure), sub-category 11.3. Source: papers/CPI_2015__sii_criteria.xlsx sheet="" Lobbying Disclosure""."
cpi_2015	IND_200	In practice, lobbyists file detailed registration forms within a few days of initiating lobbying activity.	C11 / 11.2 / Are lobbyist  registration processes effective? 	de_facto	"A 100 score is earned if lobbyists register before or within five days of initial lobbying activity. Forms provide detailed information, such as name of employer, lobbied issue, or bill number(s).

A 50 score is earned if lobbyists register about 10 days after initial lobbying activity and/or occasionally forms lack detailed information. 

A 0 score is earned if lobbyists register 20 or more days after initial lobbying activity and/or registrations generally lack detailed information."	In practice, lobbyists file detailed registration forms within a few days of initiating lobbying activity.	"CPI 2015 SII Category 11 (Lobbying Disclosure), sub-category 11.2. Source: papers/CPI_2015__sii_criteria.xlsx sheet="" Lobbying Disclosure""."
cpi_2015	IND_201	In law, lobbyists are required to file detailed spending reports, including compensation/salary information.	C11 / 11.3 / Are there detailed registration requirements? 	de_jure	"A YES score is earned if lobbyists are required to file itemized spending reports (including name of employer, lobbied issues and bill number(s) and compensation/payments received for lobbying services). 

A MODERATE score is earned if lobbyists are required to file itemized spending reports or compensation/payments received, but not both.

A NO score is earned if no such law exists."	In law, lobbyists are required to file detailed spending reports, including compensation/salary information.	"CPI 2015 SII Category 11 (Lobbying Disclosure), sub-category 11.3. Source: papers/CPI_2015__sii_criteria.xlsx sheet="" Lobbying Disclosure""."
cpi_2015	IND_202	In practice, lobbyists file detailed spending reports with reasonable frequency.	C11 / 11.2 / Are lobbyist  registration processes effective? 	de_facto	"A 100 score is earned if lobbyists file at least quarterly, itemized expense reports, including amounts, descriptions and lobbied bill number(s). 

A 50 score is earned if lobbyists file at least semi-annual expense reports, or file them more frequently, but they lack sufficient details.

A 0 score is earned if is earned where lobbyists file expense reports annually or less-frequently, and/or they usually lack details."	In practice, lobbyists file detailed spending reports with reasonable frequency.	"CPI 2015 SII Category 11 (Lobbying Disclosure), sub-category 11.2. Source: papers/CPI_2015__sii_criteria.xlsx sheet="" Lobbying Disclosure""."
cpi_2015	IND_203	In law, employers or principals of lobbyists are required to fill out spending reports.	C11 / 11.3 / Are there detailed registration requirements? 	de_jure	"A YES score is earned if employers or principals fill out spending reports including salary or fees paid to their lobbyist(s). 

A MODERATE score is earned if they file spending reports, but they fail to include the specific amount of salary or fees paid to their lobbyist(s).

A NO score is earned if no such law exists."	In law, employers or principals of lobbyists are required to fill out spending reports.	"CPI 2015 SII Category 11 (Lobbying Disclosure), sub-category 11.3. Source: papers/CPI_2015__sii_criteria.xlsx sheet="" Lobbying Disclosure""."
cpi_2015	IND_204	In practice, employers/principals list the compensation/salary of all lobbyists they hire on spending reports.	C11 / 11.2 / Are lobbyist  registration processes effective? 	de_facto	"A 100 score is earned if employers/principals always file expenditure reports including salary or fees paid to their lobbyist(s).

A 50 score is earned if employers/principals occasionally fail to file expenditure reports or they always do it, but they lack the salary or fees paid to their lobbyist(s).

A 0 score is earned if employer/principals rarely or never file expenditure reports or salary or fees paid are not disclosed."	In practice, employers/principals list the compensation/salary of all lobbyists they hire on spending reports.	"CPI 2015 SII Category 11 (Lobbying Disclosure), sub-category 11.2. Source: papers/CPI_2015__sii_criteria.xlsx sheet="" Lobbying Disclosure""."
cpi_2015	IND_205	In practice, citizens can access lobbying disclosure documents (including registration, expenses, and compensation reports) within a reasonable time period and at no cost.	C11 / 11.4 / Can citizens access the information reported by lobbyists to the state government?	de_facto	"A 100 score is earned if the all lobbying disclosure documents are available online at no cost, can be obtained electronically within a week, or in paper for no more than the cost of photocopies.

A 50 score is earned if it takes two weeks to obtain these documents, requesters are required to visit an office, or a fee must be paid.

A 0 score is earned if it takes more than a month to obtain these documents, the cost is prohibitive, or they cannot be obtained at all."	In practice, citizens can access lobbying disclosure documents (including registration, expenses, and compensation reports) within a reasonable time period and at no cost.	"CPI 2015 SII Category 11 (Lobbying Disclosure), sub-category 11.4. Source: papers/CPI_2015__sii_criteria.xlsx sheet="" Lobbying Disclosure""."
cpi_2015	IND_206	In practice, lobbying disclosure information is made available in an open data format.	C11 / 11.4 / Can citizens access the information reported by lobbyists to the state government?	de_facto	"A 100 is earned if lobbying disclosure information is made available online and can be easily accessed, downloaded in bulk, and in machine-readable format. 

A 50 is earned if where lobbying disclosure information is available online but cannot be easily accessed and/or downloaded in bulk, but can be downloaded in machine-readable format.

A 0 is earned if lobbying disclosure information is not available online or it is but cannot be downloaded."	In practice, lobbying disclosure information is made available in an open data format.	"CPI 2015 SII Category 11 (Lobbying Disclosure), sub-category 11.4. Source: papers/CPI_2015__sii_criteria.xlsx sheet="" Lobbying Disclosure""."
cpi_2015	IND_207	In law, there are requirements for the regular auditing of lobbying disclosure records.	C11 / 11.5 / Is there effective monitoring of lobbying disclosure requirements?	de_jure	"A YES score is earned if there is a legal requirement for the regular auditing of lobbying disclosure records by an impartial third party.

A MODERATE score is earned if independent auditing only occurs when financial irregularities are discovered or suspected or the law requires a compliance review.

A NO score is earned if no such law exists."	In law, there are requirements for the regular auditing of lobbying disclosure records.	"CPI 2015 SII Category 11 (Lobbying Disclosure), sub-category 11.5. Source: papers/CPI_2015__sii_criteria.xlsx sheet="" Lobbying Disclosure""."
cpi_2015	IND_208	In practice, lobbying disclosure records are independently audited.	C11 / 11.5 / Is there effective monitoring of lobbying disclosure requirements?	de_facto	"A 100 score is earned if lobbying disclosures are audited yearly by an impartial third party. 

A 50 score is earned if lobbying disclosures are not always independently audited, or they are but audits may fail to identify problems in the information.

A 0 score is earned if lobbying disclosures are not independently audited, or they generally fail to identify problems in the information."	In practice, lobbying disclosure records are independently audited.	"CPI 2015 SII Category 11 (Lobbying Disclosure), sub-category 11.5. Source: papers/CPI_2015__sii_criteria.xlsx sheet="" Lobbying Disclosure""."
cpi_2015	IND_209	In practice, penalties are imposed as necessary when lobbying reporting requirements are violated.	C11 / 11.5 / Is there effective monitoring of lobbying disclosure requirements?	de_facto	"A 100 score is earned if offenders are always sanctioned when violations to reporting requirements are discovered. 

A 50 score is earned if offenders are generally sanctioned, but documented evidence show some exceptions exist. 

A 0 score is earned if sanctions are rarely or never imposed even though they are necessary."	In practice, penalties are imposed as necessary when lobbying reporting requirements are violated.	"CPI 2015 SII Category 11 (Lobbying Disclosure), sub-category 11.5. Source: papers/CPI_2015__sii_criteria.xlsx sheet="" Lobbying Disclosure""."
